,2675,2725,2775
2001,-620.96,-325.76,-30.559999999999945
2002,-1779.52,-1947.12,-2114.7200000000003
2003,-319.96,-134.76000000000002,50.44
2004,258.44,235.64,212.84
2005,-375.84000000000003,214.95999999999992,805.76
