,5175,5225,5275,5325
1996,-2175.5,-1566.0,-1936.5454545454545,
1997,-903.0,-665.5,-524.4545454545455,
1998,-3805.5,-3873.0,-3221.181818181818,
1999,-2465.5,-1905.5,-1802.0,-1310.0
2000,-1013.5,-742.5,-388.0,-448.5
2006,,-1529.5,-1476.0,-590.5
2007,,-1325.0,-2679.5,-1154.5
2008,,,-1838.0,-889.5
