,1775,1825,1875,1925,1975,2025,2075,2125
1982,-502.5,-507.5,-477.5,-412.5,-300.0,-140.0,-45.0,-15.0
1983,-1392.5,-1137.5,-755.0,-245.0,132.5,377.5,625.0,875.0
1984,-952.5,-857.5,-685.0,-435.0,-170.0,110.0,312.5,437.5
1985,,,-2320.0,-1900.0,-1510.0,-1150.0,-852.5,-617.5
1986,,,-1872.75,-1634.25,-1263.25,-759.75,-381.0,-127.0
1987,,,-1806.75,-1118.25,-531.5,-46.5,397.0,799.0
1988,,,-1571.5,-1116.5,-694.0,-304.0,135.5,624.5
1989,,,-2420.0,-2280.0,-1940.0,-1400.0,-837.5,-252.5
2004,-4350.0,-3750.0,-3140.0,-2520.0,-1895.0,-1265.0,-905.0,-815.0
2005,-5105.0,-4515.0,-3910.0,-3290.0,-2665.0,-2035.0,-1665.0,-1555.0
