,1975,2025,2075,2125,2175,2225,2275,2325,2375,2425,2475,2525,2575,2625
1966,-1918.3333333333333,-1712.7777777777778,-1395.0,-965.0,-532.5,-97.5,277.5,592.5,937.5,1312.5,1622.5,1867.5,1945.8823529411766,1857.6470588235295
1967,-1533.3333333333333,-1477.7777777777778,-1162.5,-587.5,-152.5,142.5,607.5,1242.5,1542.5,1507.5,1557.5,1692.5,1830.5882352941176,1971.764705882353
1968,-1588.3333333333333,-1149.4444444444443,-732.5,-337.5,-160.0,-200.0,205.0,1055.0,1540.0,1660.0,1720.0,1720.0,1817.0588235294117,2011.1764705882354
1969,-2121.6666666666665,-1860.5555555555557,-1600.0,-1340.0,-1075.0,-805.0,-527.5,-242.5,25.0,275.0,450.0,550.0,629.4117647058823,688.2352941176471
1970,-3500.0,-2833.3333333333335,-2425.0,-2275.0,-2087.5,-1862.5,-1625.0,-1375.0,-1162.5,-987.5,-825.0,-675.0,-600.0,-600.0
1971,-1433.3333333333333,-1077.7777777777778,-755.0,-465.0,-200.0,40.0,277.5,512.5,762.5,1027.5,1265.0,1475.0,1665.2941176470588,1835.8823529411766
1972,-1495.0,-1078.3333333333335,-700.0,-360.0,-52.5,222.5,495.0,765.0,1052.5,1357.5,1632.5,1877.5,2091.176470588235,2273.529411764706
1973,,,,,,,,,,,,,,
1974,-1213.3333333333333,-691.1111111111111,-252.5,102.5,422.5,707.5,977.5,1232.5,1525.0,1855.0,2137.5,2372.5,2554.705882352941,2684.1176470588234
