,4875,4925,4975,5025,5075,5125
2009,-2091.285714285714,-1844.142857142857,-1693.0,-1350.25,-701.5,268.2222222222223
2010,-1769.357142857143,-1352.9285714285716,-1000.5,-379.16666666666663,301.0,358.66666666666663
2011,-176.85714285714286,-135.42857142857144,-137.7,-31.416666666666657,102.5,98.22222222222223
2012,-34.714285714285715,398.1428571428571,729.6,914.0,1260.0,1625.4444444444443
2013,-1327.7142857142858,-854.8571428571429,-489.0,-795.5,-918.5,-864.5555555555555
2014,-1725.0714285714287,-655.7857142857142,-299.3,293.5,793.0,902.2222222222222
2015,-703.1428571428571,-1594.5714285714284,-1124.9,-715.0833333333334,-730.0,-836.4444444444445
2016,-2585.0,-2035.0,-1127.3000000000002,8.833333333333371,757.0,868.7777777777778
2017,-940.5,-405.5,408.79999999999995,539.0833333333333,796.0,1124.4444444444443
2018,371.3571428571429,-5.071428571428555,119.29999999999998,601.9166666666667,1170.0,1477.6666666666667
2019,-986.8571428571429,-685.4285714285714,-23.800000000000068,819.5,1200.5,1190.6666666666667
