,975,1025,1075,1125,1175,1225,1275,1325,1375,1425,1475,1525,1575,1625,1675,1725,1775,1825
1964,-1959.6774193548388,-1375.0,-925.0,-575.0,-225.0,125.0,475.0,750.0,900.0,900.0,925.0,1025.0,1075.0,1125.0,1200.0,1325.0,1475.0,
1965,-2048.3870967741937,-1625.0,-1200.0,-850.0,-575.0,-350.0,-125.0,125.0,325.0,525.0,825.0,1050.0,1325.0,1525.0,1475.0,1300.0,1250.0,
1966,-3696.7741935483873,-3475.0,-3200.0,-2850.0,-2425.0,-1925.0,-1350.0,-900.0,-600.0,-400.0,-175.0,50.0,250.0,425.0,575.0,750.0,925.0,
1967,-2918.548387096774,-2475.0,-2050.0,-1725.0,-1450.0,-1150.0,-825.0,-450.0,-225.0,-50.0,175.0,400.0,575.0,650.0,750.0,875.0,1025.0,
1968,-802.4193548387096,-500.0,-325.0,-250.0,-200.0,-125.0,75.0,325.0,500.0,675.0,825.0,1000.0,1150.0,1275.0,1200.0,1050.0,900.0,
1991,,-2825.0,-2450.0,-2075.0,-1675.0,-1275.0,-875.0,-500.0,-125.0,250.0,600.0,950.0,1275.0,1575.0,1750.0,1750.0,1675.0,1576.9607843137255
1992,,-2225.0,-1750.0,-1225.0,-625.0,-50.0,425.0,825.0,1150.0,1400.0,1675.0,2125.0,2550.0,2725.0,2950.0,3175.0,3250.0,3176.470588235294
1993,,-1825.0,-1425.0,-1025.0,-600.0,-175.0,200.0,550.0,850.0,1050.0,1300.0,1600.0,1925.0,2100.0,2175.0,2300.0,2400.0,2424.5098039215686
1994,,-3100.0,-2575.0,-2050.0,-1525.0,-1050.0,-650.0,-300.0,-50.0,150.0,350.0,575.0,750.0,825.0,750.0,675.0,675.0,699.5098039215686
1995,,-2000.0,-1675.0,-1350.0,-1000.0,-600.0,-175.0,225.0,550.0,800.0,1075.0,1375.0,1600.0,1725.0,1725.0,1825.0,1925.0,1974.0196078431372
