,2175,2225,2275,2325,2375,2425,2475,2525,2575,2625,2675,2725,2775,2825,2875,2925,2975,3025,3075,3125
1966,-3207.5,-2822.5,-2505.0,-2255.0,-1880.0,-1380.0,-957.5,-612.5,-235.0,175.0,577.5,972.5,1272.5,1477.5,1617.5,1692.5,1747.5,1782.5,1842.5,1927.5
1967,-3915.0,-3725.0,-3480.0,-3180.0,-2715.0,-2085.0,-1550.0,-1110.0,-610.0,-50.0,442.5,867.5,1345.0,1875.0,2365.0,2815.0,3095.0,3205.0,3357.5,3552.5
1968,-2995.0,-2765.0,-2522.5,-2267.5,-1877.5,-1352.5,-907.5,-542.5,-137.5,307.5,715.0,1085.0,1487.5,1922.5,2220.0,2380.0,2495.0,2565.0,2680.0,2840.0
1969,-3485.0,-3255.0,-3022.5,-2787.5,-2435.0,-1965.0,-1562.5,-1227.5,-865.0,-475.0,-110.0,230.0,590.0,970.0,1342.5,1707.5,1942.5,2047.5,2155.0,2265.0
1970,-4150.0,-3850.0,-3615.0,-3445.0,-3187.5,-2842.5,-2552.5,-2317.5,-2060.0,-1780.0,-1502.5,-1227.5,-950.0,-670.0,-400.0,-140.0,135.0,425.0,775.0,1185.0
1971,-3475.0,-3145.0,-2865.0,-2635.0,-2300.0,-1860.0,-1485.0,-1175.0,-845.0,-495.0,-150.0,190.0,540.0,900.0,1250.0,1590.0,1752.5,1737.5,1755.0,1805.0
1972,-2977.5,-2712.5,-2477.5,-2272.5,-1972.5,-1577.5,-1237.5,-952.5,-650.0,-330.0,-17.5,287.5,602.5,927.5,1242.5,1547.5,1822.5,2067.5,2235.0,2325.0
1973,-3267.5,-3142.5,-2940.0,-2660.0,-2200.0,-1560.0,-1027.5,-602.5,-97.5,487.5,985.0,1395.0,1795.0,2185.0,2455.0,2605.0,2745.0,2875.0,3052.5,3277.5
1974,-2812.5,-2537.5,-2290.0,-2070.0,-1730.0,-1270.0,-882.5,-567.5,-215.0,175.0,540.0,880.0,1240.0,1620.0,1932.5,2177.5,2360.0,2480.0,2627.5,2802.5
1975,-3832.5,-3337.5,-2982.5,-2767.5,-2445.0,-2015.0,-1655.0,-1365.0,-1045.0,-695.0,-332.5,42.5,405.0,755.0,1100.0,1440.0,1682.5,1827.5,1970.0,2110.0
