,2075,2125,2175,2225,2275,2325,2375,2425
1981,-1122.5,-887.5,-637.5,-372.5,-150.0,30.0,340.0,780.0
1982,-1457.5,-1372.5,-1125.0,-715.0,-387.5,-142.5,110.0,370.0
1983,-400.0,-200.0,37.5,312.5,500.0,600.0,665.0,695.0
1984,-462.5,-387.5,-162.5,212.5,467.5,602.5,752.5,917.5
1985,-1500.0,-1500.0,-1390.0,-1170.0,-1117.5,-1232.5,-1165.0,-915.0
