,2175,2225,2275,2325,2375,2425,2475,2525,2575,2625,2675,2725
2015,-4682.0,-4140.333333333333,-3598.666666666667,-3057.0,-2515.3333333333335,-1973.6666666666665,-1432.0,-1000.3636363636364,-568.7272727272727,-137.09090909090924,294.5454545454545,726.181818181818
2016,-4836.0,-4585.166666666667,-4334.333333333333,-4083.5,-3832.666666666667,-3581.833333333333,-3331.0,-2542.272727272727,-1753.5454545454545,-964.818181818182,-176.090909090909,612.6363636363635
2017,-4561.0,-4080.5,-3600.0,-3119.5,-2639.0,-2158.5,-1678.0,-1372.7272727272727,-1067.4545454545455,-762.1818181818182,-456.90909090909076,-151.63636363636374
2018,-4148.0,-3754.5,-3361.0,-2967.5,-2574.0,-2180.5,-1787.0,-1390.8181818181818,-994.6363636363636,-598.4545454545455,-202.27272727272725,193.90909090909076
2019,-4035.0,-3657.5,-3280.0,-2902.5,-2525.0,-2147.5,-1770.0,-1243.2727272727273,-716.5454545454545,-189.81818181818198,336.909090909091,863.6363636363635
