,625,675,725,775,825,875,925,975,1025,1075,1125
1971,-3614.285714285714,-2900.0,-2225.0,-1650.0,-1225.0,-900.0,-500.0,-25.0,375.0,675.0,775.0
1972,-3497.3214285714284,-2850.0,-2125.0,-1725.0,-1575.0,-1475.0,-975.0,-325.0,25.0,225.0,275.0
1973,-1820.5357142857142,-950.0,-150.0,575.0,1025.0,1200.0,1400.0,1750.0,2000.0,2300.0,2400.0
1974,-2991.964285714286,-2300.0,-1550.0,-875.0,-425.0,-200.0,-25.0,275.0,675.0,850.0,875.0
1975,-1591.0714285714287,-1100.0,-600.0,-75.0,425.0,800.0,1100.0,1550.0,1875.0,1900.0,1775.0
1976,-2029.4642857142858,-1025.0,-175.0,400.0,650.0,675.0,1000.0,1550.0,1875.0,2050.0,2075.0
1977,-3258.9285714285716,-2500.0,-1800.0,-1175.0,-650.0,-200.0,125.0,275.0,275.0,325.0,325.0
