,975,1025,1075,1125,1175
2002,-424.0,-398.0,-184.0,30.0,81.0
2003,,-1598.0,-1343.0,-900.0,-849.0
2004,,-1698.0,-1322.0,-987.0,
2005,,-1807.0,-1050.0,-227.0,
2008,-1167.5,-940.0,52.5,555.0,
2009,-912.5,-795.0,-22.5,257.5,
2010,-321.25,179.75,1280.0,1428.75,
2011,-1120.0,-1127.5,-178.75,201.25,
2012,-1120.0,-1127.5,-178.75,201.25,
2013,-1050.0,-550.0,525.0,437.5,
2014,-1162.5,82.5,951.25,566.25,
2015,-1211.25,-853.75,140.5,211.25,
2016,-1675.0,-1137.5,612.5,525.0,
2017,-2182.5,-1492.5,-314.75,-475.0,
2018,-1766.25,-951.25,6.25,226.25,
2019,-2082.5,-1540.0,-285.0,307.5,
