,2075,2125,2175,2225,2275,2325,2375,2425,2475,2525,2575,2625,2675,2725,2775,2825,2875,2925,2975,3025,3075,3125,3175,3225,3275,3325,3375,3425,3475,3525
2005,-2479.0,-3835.0,-4488.0,-4438.0,-4540.0,-4794.0,-4813.5,-4598.5,-4138.5,-3433.5,-2810.75,-2270.25,-1884.0,-1652.0,-1317.25,-879.75,-431.0,29.0,352.75,540.25,611.5,566.5,512.0,448.0,401.5,372.5,329.0,271.0,221.5,180.5
2006,-4393.5,-5102.5,-5250.0,-4836.0,-4694.75,-4826.25,-4797.75,-4609.25,-4144.25,-3402.75,-2762.5,-2223.5,-1872.0,-1708.0,-1632.0,-1644.0,-1302.0,-606.0,-139.25,98.25,239.5,284.5,289.0,253.0,225.25,205.75,175.0,133.0,99.5,74.5
2007,-4547.5,-5412.5,-5678.5,-5345.5,-5150.25,-5092.75,-4985.75,-4829.25,-4421.75,-3763.25,-3207.25,-2753.75,-2355.25,-2011.75,-1785.25,-1675.75,-1292.0,-634.0,-200.0,10.0,158.75,246.25,295.5,306.5,300.75,278.25,247.25,207.75,197.5,216.5
2008,-3235.5,-4186.5,-4598.5,-4471.5,-4372.5,-4301.5,-4153.0,-3927.0,-3623.25,-3241.75,-2970.0,-2808.0,-2613.75,-2387.25,-2164.25,-1944.75,-1485.75,-787.25,-385.75,-281.25,-202.25,-148.75,-133.5,-156.5,-151.5,-118.5,-104.25,-108.75,-105.0,-93.0
2009,-3719.0,-4899.0,-5320.0,-4982.0,-4770.75,-4686.25,-4498.25,-4206.75,-3730.0,-3068.0,-2629.5,-2414.5,-2320.25,-2346.75,-2235.25,-1985.75,-1413.0,-517.0,120.75,500.25,667.75,623.25,506.5,317.5,198.5,149.5,106.5,69.5,38.0,12.0
2010,-3962.75,-4838.25,-5002.0,-4454.0,-4193.5,-4220.5,-4163.25,-4021.75,-3678.75,-3134.25,-2796.5,-2665.5,-2508.0,-2324.0,-2106.75,-1856.25,-1280.75,-380.25,180.75,402.25,495.0,459.0,389.25,285.75,213.5,172.5,146.0,134.0,108.75,70.25
2011,-4591.25,-5675.75,-6057.5,-5736.5,-5461.0,-5231.0,-4979.75,-4707.25,-4190.25,-3428.75,-2866.5,-2503.5,-2233.5,-2056.5,-1796.25,-1452.75,-991.75,-413.25,9.75,277.25,403.0,387.0,362.25,328.75,271.5,190.5,137.25,111.75,86.75,62.25
2012,-4465.5,-5908.5,-6527.5,-6322.5,-5983.5,-5510.5,-5004.75,-4466.25,-3879.5,-3244.5,-2752.75,-2404.25,-2251.75,-2295.25,-2206.0,-1984.0,-1379.75,-393.25,200.75,402.25,530.25,584.75,550.25,426.75,312.0,206.0,141.75,119.25,94.0,66.0
2013,-5496.0,-5256.0,-4904.25,-4440.75,-4250.5,-4333.5,-4272.25,-4066.75,-3726.0,-3250.0,-2730.5,-2167.5,-1666.75,-1228.25,-966.25,-880.75,-478.5,240.5,682.5,847.5,906.5,859.5,779.0,665.0,563.5,474.5,368.5,245.5,140.75,54.25
2014,-4766.0,-4702.0,-4549.0,-4307.0,-4210.25,-4258.75,-4011.75,-3469.25,-3125.0,-2979.0,-2645.75,-2125.25,-1662.5,-1257.5,-946.25,-728.75,-273.5,419.5,842.75,996.25,1001.0,857.0,697.0,521.0,413.5,374.5,319.75,249.25,164.5,65.5
2015,-5934.5,-5925.5,-5828.5,-5643.5,-5661.5,-5882.5,-5741.0,-5237.0,-4800.25,-4430.75,-3775.5,-2834.5,-2242.75,-2000.25,-1804.0,-1654.0,-1292.0,-718.0,-331.75,-133.25,17.0,119.0,198.5,255.5,269.25,239.75,184.0,102.0,25.5,-45.5
2016,-5044.25,-5008.75,-4958.0,-4892.0,-4964.5,-5175.5,-5029.5,-4526.5,-4142.0,-3876.0,-3362.0,-2600.0,-2124.0,-1934.0,-1792.75,-1700.25,-1319.25,-649.75,-175.0,105.0,270.5,321.5,370.0,416.0,405.5,338.5,281.0,233.0,174.5,105.5
2017,-6329.5,-6066.5,-5729.0,-5317.0,-5151.25,-5231.75,-5003.5,-4466.5,-4093.5,-3884.5,-3565.0,-3135.0,-2791.5,-2534.5,-2308.75,-2114.25,-1701.25,-1069.75,-634.5,-395.5,-234.25,-150.75,-50.25,67.25,124.25,120.75,62.75,-49.75,-117.25,-139.75
2018,-4300.0,-4810.0,-5172.25,-5386.75,-5478.75,-5448.25,-5375.5,-5260.5,-5016.75,-4644.25,-4084.25,-3336.75,-2820.0,-2534.0,-2268.75,-2024.25,-1601.5,-1000.5,-568.25,-304.75,-119.5,-12.5,76.25,146.75,195.0,221.0,196.0,120.0,40.5,-42.5
