,825,875,925,975,1025,1075,1125,1175,1225,1275,1325,1375,1425,1475
2002,-4812.5,-4500.0,-4200.0,-3875.0,-3550.0,-3125.0,-2625.0,-2125.0,-1525.0,-875.0,-150.0,500.0,875.0,1050.0
2003,-4896.428571428572,-4450.0,-4025.0,-3600.0,-3150.0,-2725.0,-2300.0,-1850.0,-1400.0,-975.0,-500.0,50.0,575.0,1225.0
2004,-3909.8214285714284,-3575.0,-3225.0,-2825.0,-2325.0,-1825.0,-1425.0,-1075.0,-675.0,-200.0,500.0,1350.0,2300.0,2750.0
2011,,-5079.3859649122805,-4575.0,-4100.0,-3600.0,-3150.0,-2675.0,-2200.0,-1700.0,-1225.0,-775.0,-325.0,175.0,335.0
2012,,-3082.4561403508774,-2600.0,-2100.0,-1600.0,-1100.0,-600.0,-50.0,500.0,1050.0,1575.0,2025.0,2300.0,2380.0
2013,,-6410.964912280701,-5775.0,-5150.0,-4575.0,-4000.0,-3450.0,-2975.0,-2550.0,-2150.0,-1675.0,-1175.0,-700.0,-340.0
2014,,-3563.59649122807,-3125.0,-2725.0,-2350.0,-2000.0,-1650.0,-1350.0,-1050.0,-650.0,-100.0,350.0,625.0,665.0
2015,,-3757.4561403508774,-3275.0,-2800.0,-2325.0,-1800.0,-1150.0,-525.0,-50.0,325.0,800.0,1350.0,1725.0,1785.0
2016,,-4792.105263157895,-4200.0,-3525.0,-2800.0,-2100.0,-1450.0,-825.0,-300.0,50.0,275.0,450.0,600.0,700.0
2017,,,-2000.0,-1600.0,-1200.0,-800.0,-325.0,175.0,475.0,675.0,1000.0,1375.0,1650.0,1571.259842519685
