,575,625,675,725,775,825,875,925,975,1025,1075,1125,1175,1225,1275,1325,1375,1425,1475,1525
1985,-4990.0,-4690.0,-4352.5,-3977.5,-3655.0,-3385.0,-3105.0,-2815.0,-2430.0,-1950.0,-1492.5,-1057.5,-690.0,-390.0,-42.5,352.5,685.0,955.0,1156.6666666666667,1290.0
1986,-6836.666666666667,-6292.222222222223,-5840.0,-5480.0,-5007.5,-4422.5,-3830.0,-3230.0,-2452.5,-1497.5,-690.0,-30.0,440.0,720.0,982.5,1227.5,1325.0,1275.0,1144.4444444444443,933.3333333333333
1987,-3816.6666666666665,-3405.5555555555557,-3040.0,-2720.0,-2382.5,-2027.5,-1625.0,-1175.0,-667.5,-102.5,357.5,712.5,990.0,1190.0,1375.0,1545.0,1662.5,1727.5,1807.2222222222222,1901.6666666666667
1988,-7493.333333333333,-7071.111111111111,-6662.5,-6267.5,-5847.5,-5402.5,-4840.0,-4160.0,-3407.5,-2582.5,-1935.0,-1465.0,-1127.5,-922.5,-610.0,-190.0,37.5,72.5,56.666666666666664,-10.0
2000,-3300.0,-2966.6666666666665,-2650.0,-2350.0,-2025.0,-1675.0,-1280.0,-840.0,-295.0,355.0,890.0,1310.0,1647.5,1902.5,2105.0,2255.0,2347.5,2382.5,2372.222222222222,2316.6666666666665
2001,-6658.333333333333,-6186.111111111111,-5712.5,-5237.5,-4775.0,-4325.0,-3850.0,-3350.0,-2787.5,-2162.5,-1712.5,-1437.5,-1250.0,-1150.0,-1050.0,-950.0,-912.5,-937.5,-977.7777777777778,-1033.3333333333333
2002,-8091.666666666667,-7563.888888888889,-7027.5,-6482.5,-5922.5,-5347.5,-4700.0,-3980.0,-3102.5,-2067.5,-1275.0,-725.0,-412.5,-337.5,-350.0,-450.0,-500.0,-500.0,-500.0,-500.0
2003,-8091.666666666667,-7563.888888888889,-7027.5,-6482.5,-5922.5,-5347.5,-4620.0,-3740.0,-2762.5,-1687.5,-750.0,50.0,300.0,0.0,-125.0,-75.0,-37.5,-12.5,-13.88888888888889,-41.66666666666667
2004,-7116.666666666667,-6505.555555555556,-5925.0,-5375.0,-4825.0,-4275.0,-3600.0,-2800.0,-1875.0,-825.0,-25.0,525.0,925.0,1175.0,1350.0,1450.0,1475.0,1425.0,1372.2222222222222,1316.6666666666667
2005,-8516.666666666666,-7905.555555555556,-7300.0,-6700.0,-5975.0,-5125.0,-4175.0,-3125.0,-1975.0,-725.0,175.0,725.0,1212.5,1637.5,1937.5,2112.5,2200.0,2200.0,2130.5555555555557,1991.6666666666667
