,1275,1325,1375,1425,1475,1525,1575,1625,1675,1725,1775,1825,1875,1925
1997,-1725.9259259259259,-1425.0,-1225.0,-1100.0,-800.0,-400.0,-50.0,50.0,-75.0,-350.0,-650.0,-925.0,-1100.0,-1236.71875
1998,-1600.9259259259259,-1300.0,-1000.0,-650.0,-275.0,-50.0,150.0,400.0,500.0,450.0,400.0,425.0,525.0,622.65625
1999,-190.74074074074073,-75.0,-75.0,-100.0,-50.0,-75.0,-150.0,-300.0,-450.0,-575.0,-675.0,-800.0,-1000.0,-1214.84375
2000,-659.7407407407408,-394.0,-145.0,79.0,253.0,528.0,825.0,1025.0,1075.0,1025.0,875.0,750.0,650.0,513.28125
2001,-2799.074074074074,-2475.0,-2150.0,-1875.0,-1625.0,-1350.0,-1100.0,-925.0,-775.0,-700.0,-650.0,-550.0,-425.0,-307.8125
