,3775,3825,3875,3925,3975,4025,4075,4125,4175,4225,4275,4325,4375,4425,4475,4525,4575,4625
2011,-2323.25,-1995.75,-1656.0,-1304.0,-1002.75,-752.25,-467.5,-148.5,139.0,395.0,545.25,589.75,638.75,692.25,730.0,752.0,758.75,750.25
2012,-3283.25,-2811.75,-2428.5,-2133.5,-1822.25,-1494.75,-1111.0,-671.0,-278.75,65.75,313.0,463.0,583.75,675.25,745.5,794.5,821.0,825.0
2013,-3000.5,-2551.5,-2167.75,-1849.25,-1580.75,-1362.25,-1065.0,-689.0,-361.0,-81.0,155.75,349.25,485.75,565.25,626.25,668.75,691.25,693.75
2014,-3141.0,-2633.0,-2240.0,-1962.0,-1673.75,-1375.25,-1039.5,-666.5,-382.5,-187.5,-4.0,168.0,292.25,368.75,428.5,471.5,494.75,498.25
2015,-2587.0,-2227.0,-1962.0,-1792.0,-1621.5,-1450.5,-1240.5,-991.5,-762.75,-554.25,-351.0,-153.0,-18.0,54.0,111.75,155.25,184.0,198.0
2016,-3328.75,-2820.25,-2409.25,-2095.75,-1741.5,-1346.5,-888.5,-367.5,69.75,423.25,722.25,966.75,1132.5,1219.5,1281.5,1318.5,1327.75,1309.25
2017,,,-3266.25,-3042.75,-2694.25,-2220.75,-1712.5,-1169.5,-674.0,-226.0,114.25,346.75,546.5,713.5,821.0,869.0,908.25,938.75
2018,,,-2182.0,-2028.0,-1795.25,-1483.75,-1151.0,-797.0,-489.5,-228.5,-29.5,107.5,226.75,328.25,395.0,427.0,453.25,473.75
2019,,,-3114.25,-2870.75,-2571.25,-2215.75,-1843.5,-1454.5,-1053.5,-640.5,-294.0,-14.0,204.0,360.0,464.0,516.0,555.0,581.0
2020,,,-1723.75,-1541.25,-1290.75,-972.25,-640.75,-296.25,22.75,316.25,536.25,682.75,796.5,877.5,918.0,918.0,919.0,921.0
