RGI50_Code,Full_name
01,Alaska
02,Western Canada and US
03,Arctic Canada North
04,Arctic Canada South
05,Greenland
06,Iceland
07,Svalbard
08,Scandinavia
09,Russian Arctic
10,North Asia
10,North Asia
11,Central Europe
12,Caucasus and Middle East
13,Central Asia
14,South Asia West
15,South Asia East
16,Low Latitudes
17,Southern Andes
18,New Zealand
19,Antarctic and Subantarctic
