,3750,3850,3950,4050,4150,4250
2015,-2750.0,-2382.0,-1088.0,199.0,1514.0,2250.0
2016,-4250.0,-3785.0,-2199.0,351.0,1496.0,2427.0
2018,-1646.0,-1368.0,-455.0,205.0,519.0,1243.0
2019,-1845.0,-1744.0,-474.0,71.0,249.0,864.0
2020,-1673.0,-1527.0,-65.0,618.0,789.0,1838.0
