,2250,2257,2300,2350,2357,2450,2457,2500,2550,2557,2650,2657,2700,2750,2757,2850,2857,2900,2950,2957,3050,3057,3100,3150,3157,3250,3257,3300,3350,3357,3450,3457,3500,3550,3557,3650,3657,3700,3750
1970,,,-3500.0,,,,,-2400.0,,,,,-1200.0,,,,,-700.0,,,,,50.0,,,,,850.0,,,,,880.0,,,,,680.0,
1971,,,-3300.0,,,,,-2000.0,,,,,-1100.0,,,,,-370.0,,,,,350.0,,,,,870.0,,,,,830.0,,,,,650.0,
1972,,,-3100.0,,,,,-2000.0,,,,,-1400.0,,,,,-800.0,,,,,-400.0,,,,,770.0,,,,,870.0,,,,,700.0,
1973,,,-4100.0,,,,,-330.0,,,,,-330.0,,,,,-138.0,,,,,-390.0,,,,,290.0,,,,,650.0,,,,,680.0,
1974,,,-5100.0,,,,,-4720.0,,,,,-4720.0,,,,,-2910.0,,,,,-2030.0,,,,,-2120.0,,,,,-600.0,,,,,-140.0,
1975,,,,,,,,-2740.0,,,,,-2740.0,,,,,-540.0,,,,,680.0,,,,,150.0,,,,,1340.0,,,,,1340.0,
1976,,,,,,,,-2490.0,,,,,-2490.0,,,,,-330.0,,,,,980.0,,,,,390.0,,,,,1120.0,,,,,1110.0,
1977,,,,,,,,490.0,,,,,-3400.0,,,,,-1330.0,,,,,500.0,,,,,320.0,,,,,1280.0,,,,,1420.0,
1978,,,,,,,,-3510.0,,,,,-3510.0,,,,,-1710.0,,,,,-700.0,,,,,-540.0,,,,,320.0,,,,,560.0,
1979,,,,,,,,-3370.0,,,,,-3370.0,,,,,-2010.0,,,,,-1230.0,,,,,-1160.0,,,,,50.0,,,,,730.0,
1980,,,,,,,,-3340.0,,,,,-3340.0,,,,,-1420.0,,,,,-130.0,,,,,390.0,,,,,1020.0,,,,,1030.0,
1988,-3800.0,,,-3280.0,,-2800.0,,,-2280.0,,-1500.0,,,-1300.0,,-1000.0,,,-230.0,,-140.0,,,-40.0,,870.0,,,1310.0,,1480.0,,,1330.0,,1050.0,,,790.0
1989,-4800.0,,,-4260.0,,-3000.0,,,-2200.0,,-2000.0,,,-1850.0,,-780.0,,,-300.0,,-320.0,,,-20.0,,570.0,,,1070.0,,1240.0,,,870.0,,930.0,,,990.0
1991,-4270.0,,,-3690.0,,-3130.0,,,-2600.0,,-2370.0,,,-2250.0,,-2040.0,,,-1790.0,,-1250.0,,,-1080.0,,-440.0,,,40.0,,420.0,,,270.0,,510.0,,,
1992,-4480.0,,,-3940.0,,-3400.0,,,-2930.0,,-2620.0,,,-2200.0,,-1800.0,,,-1310.0,,-850.0,,,-490.0,,160.0,,,550.0,,650.0,,,470.0,,370.0,,,
1993,-4330.0,,,-3510.0,,-2840.0,,,-2480.0,,-2180.0,,,-1820.0,,-1400.0,,,-920.0,,-500.0,,,-200.0,,580.0,,,1140.0,,1380.0,,,1150.0,,860.0,,,
1994,-4470.0,,,-3940.0,,-3560.0,,,-3300.0,,-3080.0,,,-2710.0,,-2160.0,,,-1430.0,,-1060.0,,,-800.0,,100.0,,,730.0,,860.0,,,710.0,,600.0,,,
1995,-4400.0,,,-3860.0,,-3420.0,,,-3260.0,,-2450.0,,,-1460.0,,-1240.0,,,-1100.0,,-910.0,,,-670.0,,230.0,,,1160.0,,1290.0,,,1110.0,,1190.0,,,
1996,-4660.0,,,-4080.0,,-3610.0,,,-3080.0,,-2730.0,,,-2370.0,,-1980.0,,,-1470.0,,-910.0,,,-420.0,,140.0,,,700.0,,750.0,,,660.0,,570.0,570.0,,
1997,-4480.0,,,-3800.0,,-3440.0,,,-3130.0,,-3010.0,,,-2730.0,,-2230.0,,,-1620.0,,-1060.0,,,-690.0,,170.0,,,960.0,,920.0,,,920.0,,730.0,730.0,,
1998,-5700.0,,,-5190.0,,-4810.0,,,-4280.0,,-4010.0,,,-3720.0,,-3300.0,,,-2730.0,,-2180.0,,,-1910.0,,-1200.0,,,-600.0,,340.0,,,270.0,,200.0,,,
1999,-4350.0,,,-4030.0,,-3700.0,,,-3210.0,,-2710.0,,,-2260.0,,-1850.0,,,-1320.0,,-900.0,,,-250.0,,150.0,,,750.0,,770.0,,,710.0,,540.0,,,
2000,-4500.0,-4500.0,,-4010.0,-4010.0,-3670.0,-3670.0,,-3160.0,-3160.0,-2770.0,-2770.0,,-2540.0,-2540.0,-2150.0,-2150.0,,-1610.0,-1610.0,-1150.0,-1150.0,,-670.0,-670.0,30.0,30.0,,750.0,750.0,760.0,760.0,,650.0,650.0,510.0,510.0,,
2001,,-4550.0,,,-4080.0,,-3650.0,,,-3140.0,,-2760.0,,,-2510.0,,-2120.0,,,-1550.0,,-1100.0,,,-650.0,,60.0,,,740.0,,780.0,,,620.0,,490.0,,
2004,-4680.0,,,-4030.0,,-3590.0,,,-3060.0,,-2680.0,,,-2360.0,,-2030.0,,,-1440.0,,-1010.0,,,-550.0,,60.0,,,760.0,,780.0,,,650.0,,460.0,,,
2005,-4050.0,,,-3410.0,,-2850.0,,,-2430.0,,-2070.0,,,-1800.0,,-1490.0,,,-870.0,,-480.0,,,-280.0,,370.0,,,950.0,,960.0,,,840.0,,540.0,,,
2006,-4610.0,,,-3970.0,,-3510.0,,,-3020.0,,-2690.0,,,-2260.0,,-1990.0,,,-1410.0,,-1010.0,,,-490.0,,70.0,,,680.0,,760.0,,,630.0,,460.0,,,
2007,-4590.0,,,-4050.0,,-3710.0,,,-3190.0,,-2850.0,,,-2540.0,,-2170.0,,,-1630.0,,-1250.0,,,-770.0,,-250.0,,,630.0,,600.0,,,440.0,,350.0,,,
2008,-5050.0,,,-4450.0,,-4100.0,,,-3790.0,,-3480.0,,,-3020.0,,-2750.0,,,-2290.0,,-1750.0,,,-1490.0,,-950.0,,,-250.0,,510.0,,,350.0,,240.0,,,
2009,-3600.0,,,-3150.0,,-2720.0,,,-2190.0,,-1480.0,,,-130.0,,-870.0,,,-230.0,,50.0,,,160.0,,850.0,,,1260.0,,1320.0,,,1210.0,,850.0,,,
2011,-4780.0,,,-4400.0,,-3920.0,,,-3410.0,,-3060.0,,,-2870.0,,-2410.0,,,-1880.0,,-1420.0,,,-930.0,,-520.0,,,300.0,,510.0,,,400.0,,280.0,,,
2012,-5400.0,,,-4980.0,,-4550.0,,,-4020.0,,-3760.0,,,-3480.0,,-3060.0,,,-2480.0,,-2010.0,,,-1620.0,,-1040.0,,,-380.0,,450.0,,,360.0,,230.0,,,
