,819,868,875,876,925,975,1025,1075,1125,1175,1225,1275,1325,1375,1425,1475,1487,1488,1516
2002,-4850.0,,-4500.0,,-4200.0,-3875.0,-3550.0,-3125.0,-2625.0,-2125.0,-1525.0,-875.0,-150.0,500.0,875.0,1050.0,,,1125.0
2003,-4950.0,,-4450.0,,-4025.0,-3600.0,-3150.0,-2725.0,-2300.0,-1850.0,-1400.0,-975.0,-500.0,50.0,575.0,1225.0,,,1925.0
2004,-3950.0,,-3575.0,,-3225.0,-2825.0,-2325.0,-1825.0,-1425.0,-1075.0,-675.0,-200.0,500.0,1350.0,2300.0,2750.0,,,2975.0
2011,,-5150.0,,,-4575.0,-4100.0,-3600.0,-3150.0,-2675.0,-2200.0,-1700.0,-1225.0,-775.0,-325.0,175.0,,375.0,,
2012,,-3150.0,,,-2600.0,-2100.0,-1600.0,-1100.0,-600.0,-50.0,500.0,1050.0,1575.0,2025.0,2300.0,,2400.0,,
2013,,-6500.0,,,-5775.0,-5150.0,-4575.0,-4000.0,-3450.0,-2975.0,-2550.0,-2150.0,-1675.0,-1175.0,-700.0,,-250.0,,
2014,,-3625.0,,,-3125.0,-2725.0,-2350.0,-2000.0,-1650.0,-1350.0,-1050.0,-650.0,-100.0,350.0,625.0,,675.0,,
2015,,-3825.0,,,-3275.0,-2800.0,-2325.0,-1800.0,-1150.0,-525.0,-50.0,325.0,800.0,1350.0,1725.0,,1800.0,,
2016,,-4875.0,,,-4200.0,-3525.0,-2800.0,-2100.0,-1450.0,-825.0,-300.0,50.0,275.0,450.0,600.0,,725.0,,
2017,,,,-2475.0,-2000.0,-1600.0,-1200.0,-800.0,-325.0,175.0,475.0,675.0,1000.0,1375.0,1650.0,,,1550.0,
