,575,625,675,725,775,825,875,925,975,1025,1075,1125,1175,1225,1275,1325,1375,1425,1475,1525
1988,-7493.333333333333,-7071.111111111111,-6662.5,-6267.5,-5847.5,-5402.5,-4840.0,-4160.0,-3407.5,-2582.5,-1935.0,-1465.0,-1127.5,-922.5,-610.0,-190.0,37.5,72.5,56.666666666666664,-10.0
2002,-8091.666666666667,-7563.888888888889,-7027.5,-6482.5,-5922.5,-5347.5,-4700.0,-3980.0,-3102.5,-2067.5,-1275.0,-725.0,-412.5,-337.5,-350.0,-450.0,-500.0,-500.0,-500.0,-500.0
2003,-8091.666666666667,-7563.888888888889,-7027.5,-6482.5,-5922.5,-5347.5,-4620.0,-3740.0,-2762.5,-1687.5,-750.0,50.0,300.0,0.0,-125.0,-75.0,-37.5,-12.5,-13.88888888888889,-41.66666666666667
2004,-7116.666666666667,-6505.555555555556,-5925.0,-5375.0,-4825.0,-4275.0,-3600.0,-2800.0,-1875.0,-825.0,-25.0,525.0,925.0,1175.0,1350.0,1450.0,1475.0,1425.0,1372.2222222222222,1316.6666666666667
2005,-8516.666666666666,-7905.555555555556,-7300.0,-6700.0,-5975.0,-5125.0,-4175.0,-3125.0,-1975.0,-725.0,175.0,725.0,1212.5,1637.5,1937.5,2112.5,2200.0,2200.0,2130.5555555555557,1991.6666666666667
