,2675,2725,2775,2825,2875,2925,2975,3025,3075,3125,3175,3225,3275,3325,3375,3425,3475,3525,3575,3625,3675,3725,3775,3825,3875,3925
1988,-1846.25,-1578.75,-1311.25,-1043.75,-832.5,-677.5,-457.5,-172.5,17.5,112.5,285.0,535.0,775.0,1005.0,1127.5,1142.5,1152.5,1157.5,1112.5,1017.5,952.5,917.5,950.0,1050.0,1152.5,1257.5
1989,-2743.75,-2551.25,-2358.75,-2166.25,-1897.5,-1552.5,-1122.5,-607.5,-285.0,-155.0,75.0,405.0,675.0,885.0,992.5,997.5,1025.0,1075.0,1060.0,980.0,907.5,842.5,845.0,915.0,995.0,1085.0
1991,-3335.0,-3205.0,-2942.5,-2547.5,-2272.5,-2117.5,-1862.5,-1507.5,-1180.0,-880.0,-607.5,-362.5,-102.5,172.5,380.0,520.0,600.0,620.0,647.5,682.5,677.5,632.5,672.5,797.5,865.0,875.0
1992,-3080.0,-2840.0,-2527.5,-2142.5,-1850.0,-1650.0,-1277.5,-732.5,-375.0,-205.0,-85.0,-15.0,132.5,357.5,547.5,702.5,752.5,697.5,650.0,610.0,587.5,582.5,617.5,692.5,720.0,700.0
1993,-2817.5,-2652.5,-2307.5,-1782.5,-1362.5,-1047.5,-682.5,-267.5,27.5,202.5,382.5,567.5,727.5,862.5,990.0,1110.0,1140.0,1080.0,1032.5,997.5,955.0,905.0,922.5,1007.5,1085.0,1155.0
1994,-4037.5,-3912.5,-3527.5,-2882.5,-2265.0,-1675.0,-1170.0,-750.0,-465.0,-315.0,-175.0,-45.0,135.0,365.0,532.5,637.5,672.5,637.5,592.5,537.5,462.5,367.5,385.0,515.0,602.5,647.5
1995,-3915.0,-3645.0,-3252.5,-2737.5,-2237.5,-1752.5,-1267.5,-782.5,-295.0,195.0,535.0,725.0,900.0,1060.0,1135.0,1125.0,1080.0,1000.0,920.0,840.0,710.0,530.0,495.0,605.0,657.5,652.5
