,2450,2550,2650,2750,2850,2950
2010,-862,-1278,-1029,-783,63,166
2011,-2060,-2561,-2435,-2256,-1315,-640
2012,-757,-1070,-970,-917,-233,83
2013,-1087,-1553,-1465,-1267,-378,147
2014,-1305,-1458,-1276,-879,-130,187
2015,-2709,-2840,-2613,-2332,-1043,-245
2016,-1000,-854,-482,-154,479,806
