,2175,2225,2275,2325,2375,2425,2475,2525,2575,2625,2675,2725,2775,2825,2875,2925,2975,3025,3075,3125,3175,3225,3275,3325
1971,-2942.284023668639,-2770.094674556213,-2684.5,-2685.5,-2513.25,-2167.75,-1841.75,-1535.25,-1388.75,-1402.25,-1350.5,-1233.5,-919.75,-409.25,-137.25,-103.75,113.5,514.5,886.25,1228.75,1474.0,1622.0,1588.7745664739884,1374.3236994219653
1972,-1599.1715976331361,-1426.3905325443786,-1425.0,-1595.0,-1520.5,-1201.5,-912.75,-654.25,-518.75,-506.25,-415.0,-245.0,-15.5,273.5,441.5,488.5,638.25,890.75,1128.25,1350.75,1512.0,1612.0,1611.7109826589594,1511.1329479768785
1973,-2426.9704142011833,-2063.6568047337278,-1944.0,-2068.0,-2055.75,-1907.25,-1679.25,-1371.75,-1196.5,-1153.5,-1073.0,-955.0,-721.75,-373.25,-134.25,-4.75,280.25,720.75,1103.25,1427.75,1669.75,1829.25,1832.4104046242774,1679.2312138728323
1974,-2056.0887573964496,-1546.0295857988167,-1189.25,-985.75,-840.0,-752.0,-615.25,-429.75,-289.5,-194.5,-135.0,-111.0,-16.5,148.5,340.75,560.25,923.75,1431.25,1813.25,2069.75,2257.25,2375.75,2377.1965317919075,2261.5895953757226
1975,-1530.2603550295858,-1147.420118343195,-899.25,-785.75,-569.5,-250.5,-0.5,180.5,267.5,260.5,293.75,367.25,468.25,596.75,715.0,823.0,1147.5,1688.5,2118.25,2436.75,2666.5,2807.5,2829.156069364162,2731.4682080924854
1976,-2379.176470588235,-2065.0588235294117,-2045.25,-2319.75,-2387.0,-2247.0,-1954.25,-1508.75,-1191.5,-1002.5,-865.75,-781.25,-629.5,-410.5,-308.25,-322.75,-82.5,412.5,823.5,1150.5,1376.25,1500.75,1491.9017341040462,1349.7052023121387
1977,-1823.6483516483515,-1522.5494505494505,-1414.25,-1498.75,-1341.5,-942.5,-548.5,-159.5,71.25,143.75,242.5,367.5,555.5,806.5,1006.5,1155.5,1412.0,1776.0,2116.5,2433.5,2672.75,2834.25,2908.063583815029,2894.190751445087
1978,,-1108.888888888889,-884.5,-813.5,-562.5,-131.5,203.25,441.75,528.25,462.75,457.0,511.0,591.25,697.75,780.0,838.0,1061.25,1449.75,1747.5,1954.5,2118.5,2239.5,2298.4662576687115,2295.398773006135
1979,-1869.2980132450332,-1299.0993377483444,-1055.75,-1139.25,-1113.5,-978.5,-793.75,-559.25,-464.5,-509.5,-420.0,-196.0,-55.5,1.5,158.5,415.5,778.5,1247.5,1578.75,1772.25,1932.0,2058.0,2092.9135802469136,2036.7407407407406
1980,-1661.26582278481,-1327.0886075949368,-1175.5,-1206.5,-982.25,-502.75,-128.0,142.0,257.5,218.5,282.5,449.5,579.0,671.0,739.25,783.75,1057.75,1561.25,1922.5,2141.5,2298.25,2392.75,2381.304347826087,2263.913043478261
1981,-2605.0384615384614,-2022.3461538461538,-1733.75,-1739.25,-1531.75,-1111.25,-790.25,-568.75,-489.25,-551.75,-438.0,-148.0,96.75,296.25,403.75,419.25,718.75,1302.25,1733.5,2012.5,2215.0,2341.0,2334.4347826086955,2195.304347826087
1982,-2865.0967741935483,-2627.032258064516,-2500.75,-2486.25,-2285.5,-1898.5,-1598.75,-1386.25,-1188.75,-1006.25,-727.0,-351.0,-139.5,-92.5,-18.5,82.5,396.0,922.0,1342.0,1656.0,1886.25,2032.75,2037.3664596273293,1900.0993788819876
1983,-2712.064935064935,-2438.688311688312,-2412.25,-2632.75,-2551.0,-2167.0,-1795.75,-1437.25,-1151.75,-939.25,-755.0,-599.0,-468.75,-364.25,-319.75,-335.25,-49.0,539.0,981.75,1279.25,1483.0,1593.0,1533.0931677018634,1303.27950310559
1984,-2318.740740740741,-1891.5802469135801,-1789.5,-2012.5,-1938.75,-1568.25,-1151.0,-687.0,-413.0,-329.0,-229.5,-114.5,-85.25,-141.75,-77.75,106.75,463.5,992.5,1380.0,1626.0,1814.0,1944.0,1964.27950310559,1874.8385093167701
1985,-2267.55900621118,-1827.1863354037268,-1566.0,-1484.0,-1346.75,-1154.25,-894.0,-566.0,-300.5,-97.5,98.5,287.5,526.25,814.75,1084.5,1335.5,1642.5,2005.5,2304.0,2538.0,2719.5,2848.5,2858.0,2748.0
