,650,750,850,950,1050,1150,1250,1350,1450,1550,1650,1750,1850,1950,2050,2150
1981,-4500.0,-4500.0,-3980.0,-3290.0,-3110.0,-2310.0,-1560.0,-230.0,630.0,910.0,970.0,1000.0,1000.0,1390.0,2000.0,2000.0
1982,-5000.0,-4490.0,-3600.0,-3400.0,-3650.0,-3220.0,-2620.0,-1750.0,-1070.0,-310.0,130.0,320.0,360.0,200.0,280.0,500.0
1983,-5000.0,-4950.0,-4370.0,-3700.0,-3320.0,-2610.0,-2500.0,-2200.0,-1140.0,-420.0,380.0,1040.0,1100.0,1430.0,1520.0,500.0
1984,-3500.0,-3070.0,-2450.0,-2150.0,-2090.0,-1930.0,-1410.0,-290.0,300.0,840.0,1000.0,1000.0,1000.0,1000.0,1500.0,1500.0
