,2375,2425,2475,2525,2575,2625,2675,2725,2775,2825,2875,2925,2975,3025,3075
2001,-1363,-933,-75,-292,-864,-734,-430,156,-227,-830,-685,-176,289,222,-20
2002,-1842,-1141,-235,70,-229,-961,-792,-119,-343,-849,-582,-136,-63,-279,-401
2003,-3517,-2518,-968,-586,-1009,-2000,-1963,-785,-1438,-2766,-2547,-1837,-1364,-1228,-1210
2004,-809,-314,313,194,-252,-101,-13,922,589,-158,-298,-9,823,735,740
2005,-2470,-1687,-426,-381,-634,-765,-509,677,611,-34,-88,403,655,858,963
2006,-3010,-2174,-925,-785,-1592,-1575,-1350,-294,-373,-900,-979,-606,-238,61,468
2007,-1865,-1834,-851,-564,-1091,-1675,-1450,108,-134,-1300,-1704,-1098,-233,219,311
2008,-2527,-1713,-411,-8,-620,-1154,-749,201,124,-533,-771,-440,-196,-94,-37
2009,-1979,-1112,-213,-149,-635,-950,-684,197,159,-504,-930,-515,-18,30,71
2010,-2094,-1194,-349,-1307,-1717,-1519,-604,-7,-34,-623,-670,-228,89,36,7
2011,-3007,-2432,-1538,-2641,-2711,-2405,-1736,-630,-833,-2667,-2089,-1573,-1304,-1202,-1624
2012,-2367,-1719,-847,-1532,-2306,-2167,-1414,-281,-131,-3214,-2818,-1690,-545,-247,-122
2013,-1735,-553,114,-605,-975,-1091,-238,305,23,-1302,-1212,-535,8,121,57
