,1750,1850,1950,2050,2150
1982,-500.0,-510.0,-380.0,-60.0,0.0
1983,-1520.0,-1010.0,10.0,500.0,1000.0
1984,-1000.0,-810.0,-310.0,250.0,500.0
1985,,-2530.0,-1690.0,-970.0,-500.0
1986,,-1992.0,-1515.0,-508.0,0.0
1987,,-2151.0,-774.0,196.0,1000.0
1988,,-1799.0,-889.0,-109.0,869.0
1989,,-2490.0,-2210.0,-1130.0,40.0
2004,-4650.0,-3450.0,-2210.0,-950.0,-770.0
2005,-5400.0,-4220.0,-2980.0,-1720.0,-1500.0
