,2550,2650,2750,2850,2950,3050,3150,3250,3350,3450,3550,3650,3750,3850,3950
2005,-6973,-5697,-4969,-3808,-2573,-1615,-860,33,284,572,721,800,476,543,723
2006,-7461,-6148,-5496,-3875,-2963,-2759,-1578,-603,211,531,707,823,526,644,886
2007,-6724,-5436,-4822,-3292,-2581,-1489,-472,129,459,693,806,853,583,601,685
2008,-6770,-5889,-5169,-3507,-2829,-2114,-1310,-447,33,315,500,624,395,479,652
2009,-7008,-5835,-4850,-3264,-2185,-1558,-563,99,512,829,1009,1100,629,716,929
2010,-6684,-5590,-4888,-3421,-2686,-2154,-1193,-246,288,588,735,829,501,596,806
2011,-8109,-7338,-5616,-3938,-2969,-2264,-1585,-780,-54,345,607,764,467,560,733
2012,-6879,-5541,-4732,-3574,-3073,-2297,-1419,-586,154,515,690,839,306,748,1250
2013,-5790,-5211,-3967,-2722,-1960,-1727,-443,398,906,1282,1516,1855,1128,760,875
2014,-5841,-5417,-4006,-2790,-2190,-1212,-329,440,791,1201,1360,1120,943,1179,1286
2015,-8229,-7198,-5988,-4410,-3576,-2558,-1220,-230,345,732,765,815,320,344,301
2016,-7303,-6530,-5112,-3916,-2784,-2101,-1457,-1063,-245,512,1010,1135,646,420,266
