,2880,2965,3005,3050,3100,3140
2000,-1828.0,-1568.0,-1230.0,-1285.0,-676.0,-218.0
2001,-260.0,1.0,160.0,233.0,500.0,500.0
2002,-1262.0,-870.0,-400.0,2.0,231.0,132.0
2003,-3570.0,-3350.0,-3000.0,-2980.0,-2430.0,-2240.0
2004,-1570.0,-1159.0,-1060.0,-1135.0,-693.0,-348.0
2005,-2718.0,-2519.0,-2230.0,-2192.0,-1851.0,-1413.0
2006,-2540.0,-2323.0,,-2201.0,-1670.0,-1270.0
2007,-1836.0,-1740.0,,-1653.0,-1027.0,-713.0
2008,-2001.0,-1888.0,,-1436.0,-1175.0,-522.0
2009,-783.0,-731.0,,-533.0,-81.0,-56.0
2010,-1827.0,-1061.0,,-635.0,-261.0,150.0
2011,-1797.0,-1858.0,,-762.0,-967.0,-179.0
2012,-3263.0,-2784.0,,-2023.0,-1610.0,-1218.0
2013,-1436.0,-1148.0,,-857.0,-235.0,480.0
2014,-1566.0,-1114.0,,-383.0,-175.0,450.0
2015,-3263.0,-2062.0,,-1701.0,-1349.0,-669.0
2016,-2775.0,-2480.0,,-1731.0,-1418.0,-217.0
