,2450,2550,2650,2750,2850,2950
2010,-862.0,-1278.0,-1029.0,-783.0,63.0,166.0
2011,-2060.0,-2561.0,-2435.0,-2256.0,-1315.0,-640.0
2012,-757.0,-1070.0,-970.0,-917.0,-233.0,83.0
2013,-1087.0,-1553.0,-1465.0,-1267.0,-378.0,147.0
2014,-1305.0,-1458.0,-1276.0,-879.0,-130.0,187.0
2015,-2709.0,-2840.0,-2613.0,-2332.0,-1043.0,-245.0
2016,-1000.0,-854.0,-482.0,-154.0,479.0,806.0
2017,-2304.0,-2496.0,-2277.0,-2308.0,-790.0,-403.0
2018,-2266.0,-2479.0,-2326.0,-2008.0,-362.0,-3.0
2019,-1828.0,-1947.0,-1858.0,-1717.0,-160.0,
