,1710,1730,1750,1770,1790,1810,1830,1850,1870,1890,1910
2018,-3586.0,-4100.0,-3863.0,-3197.0,-2344.0,-1392.0,323.0,72.0,36.0,0.0,0.0
2019,-5406.0,-4237.0,-3581.0,-2999.0,-2404.0,-1777.0,-1082.0,-513.0,1.0,199.0,89.0
