,2865,2950,3050,3150,3250,3350,3450,3550,3650,3750,3850,3950,4050,4150,4250
1968,-2311,-1938,-1054,-759,-333,2,793,1386,1457,1637,1443,1035,1014,935,885
1969,-3118,-2696,-1887,-1605,-944,-560,-333,962,1007,936,827,681,745,886,850
1970,-3302,-2767,-2093,-1822,-1296,-861,-252,838,1092,1202,841,574,759,1013,970
1971,-2710,-2220,-1425,-1043,-498,-188,89,899,1092,1450,1198,972,1015,936,886
1972,-3638,-3087,-2149,-1738,-1134,-807,-393,649,1044,884,834,748,812,896,854
1973,-2750,-2580,-1850,-1272,-490,60,373,1250,1433,1640,1409,1448,1190,1100,1000
1974,-3110,-2710,-1890,-1490,-750,-280,85,1150,1400,1090,1130,960,1000,890,800
1975,-4500,-3470,-2900,-2300,-1520,-1010,-760,100,380,500,548,500,530,642,710
1976,-3200,-2800,-1850,-1400,-600,-150,133,1020,950,835,880,740,630,848,820
1977,-3090,-2750,-1960,-1640,-900,-340,50,1010,1050,900,960,830,670,720,700
1978,-3015,-2560,-1800,-1360,-662,19,230,906,900,1090,1040,910,630,360,300
1979,-3490,-2950,-1950,-1410,-680,-250,130,966,1185,1370,1320,1190,900,600,400
1980,-3520,-2790,-1890,-1640,-980,-430,-100,855,1120,1100,1185,1070,940,840,880
