,375,425,475,525,575,625,675,725,775,825,875,925,975,1025,1075,1125,1175,1225,1275,1325,1375,1425,1475,1525,1575,1625,1675,1725,1775,1825,1875,1925
1979,-7762.5,-7427.5,-7095.0,-6765.0,-6425.0,-6075.0,-5740.0,-5420.0,-5095.0,-4765.0,-4432.5,-4097.5,-3772.5,-3457.5,-3120.0,-2760.0,-2465.0,-2235.0,-1955.0,-1625.0,-1177.5,-612.5,-142.5,232.5,682.5,1207.5,1637.5,1972.5,2340.0,2740.0,2980.625,3061.875
1980,-10767.5,-10302.5,-9917.5,-9612.5,-9252.5,-8837.5,-8432.5,-8037.5,-7662.5,-7307.5,-6912.5,-6477.5,-6107.5,-5802.5,-5470.0,-5110.0,-4705.0,-4255.0,-3835.0,-3445.0,-2962.5,-2387.5,-1915.0,-1545.0,-1105.0,-595.0,-225.0,5.0,245.0,495.0,516.875,310.625
1986,-10022.5,-9607.5,-9075.0,-8425.0,-7862.5,-7387.5,-6950.0,-6550.0,-6117.5,-5652.5,-5245.0,-4895.0,-4545.0,-4195.0,-3835.0,-3465.0,-3105.0,-2755.0,-2445.0,-2175.0,-1787.5,-1282.5,-852.5,-497.5,-90.0,370.0,795.0,1185.0,1485.0,1695.0,1818.75,1856.25
1987,-7252.5,-6717.5,-6237.5,-5812.5,-5425.0,-5075.0,-4700.0,-4300.0,-3890.0,-3470.0,-3082.5,-2727.5,-2372.5,-2017.5,-1690.0,-1390.0,-1075.0,-745.0,-435.0,-145.0,152.5,457.5,767.5,1082.5,1485.0,1975.0,2350.0,2610.0,2785.0,2875.0,2873.125,2779.375
1988,-11920.0,-11486.666666666666,-11097.5,-10752.5,-10367.5,-9942.5,-9475.0,-8965.0,-8425.0,-7855.0,-7340.0,-6880.0,-6402.5,-5907.5,-5435.0,-4985.0,-4522.5,-4047.5,-3567.5,-3082.5,-2582.5,-2067.5,-1632.5,-1277.5,-852.5,-357.5,85.0,475.0,840.0,1180.0,1396.875,1490.625
1989,-7458.333333333333,-6986.111111111111,-6537.5,-6112.5,-5632.5,-5097.5,-4577.5,-4072.5,-3582.5,-3107.5,-2647.5,-2202.5,-1742.5,-1267.5,-820.0,-400.0,-12.5,342.5,655.0,925.0,1212.5,1517.5,1937.5,2472.5,3075.0,3745.0,4325.0,4815.0,5170.0,5390.0,5490.625,5471.875
1990,-8471.666666666666,-7710.555555555556,-7035.0,-6445.0,-5950.0,-5550.0,-5180.0,-4840.0,-4507.5,-4182.5,-3880.0,-3600.0,-3285.0,-2935.0,-2602.5,-2287.5,-1945.0,-1575.0,-1232.5,-917.5,-525.0,-55.0,417.5,892.5,1445.0,2075.0,2757.5,3492.5,4125.0,4655.0,4957.5,5032.5
1991,-9308.333333333334,-8836.111111111111,-8400.0,-8000.0,-7587.5,-7162.5,-6712.5,-6237.5,-5750.0,-5250.0,-4725.0,-4175.0,-3575.0,-2925.0,-2625.0,-2675.0,-2500.0,-2100.0,-1700.0,-1300.0,-932.5,-597.5,-260.0,80.0,417.5,752.5,1002.5,1167.5,1287.5,1362.5,1321.875,1165.625
1992,-7025.0,-6675.0,-6300.0,-5900.0,-5512.5,-5137.5,-4752.5,-4357.5,-3962.5,-3567.5,-2870.0,-1870.0,-1040.0,-380.0,-357.5,-972.5,-1122.5,-807.5,-505.0,-215.0,77.5,372.5,705.0,1075.0,1507.5,2002.5,2467.5,2902.5,3195.0,3345.0,3413.75,3401.25
1993,-8950.0,-8450.0,-7962.5,-7487.5,-7025.0,-6575.0,-6112.5,-5637.5,-5162.5,-4687.5,-3962.5,-2987.5,-2250.0,-1750.0,-1512.5,-1537.5,-1300.0,-800.0,-337.5,87.5,512.5,937.5,1350.0,1750.0,2100.0,2400.0,2675.0,2925.0,3187.5,3462.5,3506.25,3318.75
1994,-8083.333333333333,-7694.444444444444,-7262.5,-6787.5,-6412.5,-6137.5,-5812.5,-5437.5,-5062.5,-4687.5,-4325.0,-3975.0,-3575.0,-3125.0,-2662.5,-2187.5,-1712.5,-1237.5,-812.5,-437.5,-125.0,125.0,350.0,550.0,737.5,912.5,1100.0,1300.0,1537.5,1812.5,2043.75,2231.25
1995,-9416.666666666666,-8972.222222222223,-8550.0,-8150.0,-7737.5,-7312.5,-6850.0,-6350.0,-5837.5,-5312.5,-4775.0,-4225.0,-3675.0,-3125.0,-2600.0,-2100.0,-1575.0,-1025.0,-487.5,37.5,450.0,750.0,975.0,1125.0,1337.5,1612.5,1887.5,2162.5,2375.0,2525.0,2553.125,2459.375
1996,-9605.0,-9288.333333333334,-8972.5,-8657.5,-8250.0,-7750.0,-7200.0,-6600.0,-5975.0,-5325.0,-4687.5,-4062.5,-3512.5,-3037.5,-2650.0,-2350.0,-2075.0,-1825.0,-1600.0,-1400.0,-1200.0,-1000.0,-837.5,-712.5,-500.0,-200.0,150.0,550.0,850.0,1050.0,1165.625,1196.875
