,1130,1150,1170,1190,1210,1230,1250,1270,1290,1310,1330,1350,1370,1390,1410,1430,1450
1996,,-750.0,-750.0,-750.0,-680.0,-420.0,-440.0,-450.0,-190.0,-180.0,-90.0,20.0,110.0,70.0,80.0,80.0,70.0
1997,,-1630.0,-1630.0,-1360.0,-1230.0,-1460.0,-1470.0,-1400.0,-1420.0,-1290.0,-1260.0,-920.0,-810.0,-780.0,-740.0,-640.0,-730.0
1999,,-2543.0,-2380.0,-2217.0,-2054.0,-1891.0,-1715.0,-1525.0,-1356.0,-1221.0,-1069.0,-858.0,-667.0,-486.0,-334.0,-235.0,-100.0
2000,,-1706.0,-1576.0,-1446.0,-1316.0,-1186.0,-1056.0,-926.0,-796.0,-681.0,-535.0,-394.0,-204.0,-24.0,107.0,147.0,276.0
2001,,-2660.0,-2570.0,-2480.0,-2390.0,-2290.0,-2200.0,-2130.0,-2030.0,-1930.0,-1830.0,-1740.0,-1660.0,-1570.0,-1520.0,-1430.0,-1440.0
2002,,-2990.0,-2910.0,-2790.0,-2840.0,-2700.0,-2610.0,-2510.0,-2330.0,-2200.0,-2040.0,-1840.0,-1710.0,-1560.0,-1410.0,-1370.0,-1330.0
2003,,-2010.0,-2000.0,-2070.0,-2110.0,-2070.0,-2030.0,-2030.0,-2010.0,-1920.0,-1900.0,-1800.0,-1690.0,-1630.0,-1610.0,-1580.0,-1740.0
2005,-880.0,-850.0,-810.0,-770.0,-730.0,-710.0,-670.0,-630.0,-560.0,-480.0,-360.0,-340.0,-260.0,-230.0,-210.0,-170.0,-180.0
2006,-2450.0,-2360.0,-2280.0,-2200.0,-2110.0,-1960.0,-1870.0,-1780.0,-1690.0,-1610.0,-1540.0,-1460.0,-1330.0,-1220.0,-1130.0,-1070.0,-970.0
2007,-2280.0,-2200.0,-2090.0,-2000.0,-1890.0,-1740.0,-1620.0,-1500.0,-1380.0,-1250.0,-1090.0,-1010.0,-870.0,-750.0,-670.0,-470.0,-500.0
2008,-1190.0,-1150.0,-1110.0,-1070.0,-1010.0,-920.0,-860.0,-810.0,-770.0,-730.0,-670.0,-640.0,-560.0,-490.0,-460.0,-380.0,-360.0
2009,-1440.0,-1380.0,-1320.0,-1260.0,-1240.0,-1550.0,-1500.0,-1410.0,-1300.0,-1090.0,-790.0,-670.0,-590.0,-520.0,-450.0,-280.0,-270.0
2010,-890.0,-890.0,-900.0,-900.0,-910.0,-930.0,-930.0,-940.0,-960.0,-1000.0,-1010.0,-1010.0,-990.0,-960.0,-930.0,-890.0,-950.0
2011,-1310.0,-1300.0,-1300.0,-1290.0,-1270.0,-1110.0,-1080.0,-1040.0,-1000.0,-960.0,-960.0,-940.0,-910.0,-970.0,-1020.0,-1290.0,-1320.0
2012,-760.0,-720.0,-660.0,-610.0,-560.0,-560.0,-510.0,-440.0,-370.0,-270.0,-150.0,-80.0,-20.0,30.0,70.0,170.0,140.0
2015,,,-280.0,-260.0,-240.0,-220.0,-180.0,-140.0,-100.0,-70.0,-70.0,40.0,110.0,160.0,200.0,140.0,
