,2050,2150,2250,2350,2450
1981,-1240.0,-770.0,-240.0,120.0,1000.0
1982,-1500.0,-1330.0,-510.0,-20.0,500.0
1983,-500.0,-100.0,450.0,650.0,710.0
1984,-500.0,-350.0,400.0,670.0,1000.0
1985,-1500.0,-1500.0,-1060.0,-1290.0,-790.0
