,909,918,920,926,975,1025,1075,1125,1175,1225,1275,1325,1334,1363,1365,1366
2009,,,-2155.0,,-2030.0,-1755.0,-1430.0,-1055.0,-855.0,-530.0,-130.0,,45.0,,,
2010,,,-4055.0,,-3705.0,-3380.0,-3005.0,-2730.0,-2530.0,-2255.0,-1980.0,,-1655.0,,,
2011,,,-3425.0,,-2900.0,-2400.0,-1875.0,-1425.0,-1050.0,-675.0,-350.0,,-125.0,,,
2012,,,-850.0,,-375.0,25.0,450.0,800.0,1100.0,1500.0,1850.0,,2025.0,,,
2013,,,-3650.0,,-3275.0,-2925.0,-2150.0,-1650.0,-1150.0,-575.0,-300.0,,-100.0,,,
2014,,,-5275.0,,-4325.0,-3475.0,-2700.0,-2150.0,-1725.0,-1300.0,-1100.0,,-1125.0,,,
2015,,,-3925.0,,-3000.0,-2250.0,-1575.0,-1075.0,-725.0,-450.0,-200.0,,0.0,,,
2017,,,-6100.0,,-4525.0,-3175.0,-2050.0,-1350.0,-825.0,-400.0,-100.0,,75.0,,,
2018,,,-4275.0,,-3900.0,-3475.0,-2900.0,-2500.0,-2225.0,-1900.0,-1575.0,,-1425.0,,,
2019,,,-5250.0,,-4775.0,-4325.0,-3825.0,-3300.0,-2800.0,-2300.0,-1825.0,,-1350.0,,,
