,2675,2725,2775,2825,2875,2925,2975,3025,3075,3125,3175,3225,3275,3325,3375,3425
2007,-4138,-4091,-3409,-2784,-3067,-3271,-2516,-2148,-1815,-948,-131,397,-164,-165,-362,-759
2008,-4750,-4203,-2679,-2080,-2060,-2068,-1697,-1290,-613,159,757,761,435,570,79,-750
2009,-3250,-2772,-1537,-1032,-1308,-1426,-1166,-803,-247,49,140,247,-74,228,-319,-1211
2010,-3250,-3249,-2379,-1525,-1244,-1281,-1026,-784,-259,168,222,234,-145,64,-210,-250
2011,-4750,-4717,-3615,-3189,-2633,-2665,-2426,-2082,-1429,-789,-320,-22,-156,-25,-184,-750
2012,-4750,-4747,-3146,-2062,-2382,-2374,-2287,-1897,-1264,-790,-382,-239,-305,-454,-850,-1250
2013,-2750,-2508,-1714,-890,-929,-973,-564,-423,-220,32,418,510,-3,434,45,-250
2014,-2750,-2450,-1941,-1029,-829,-1005,-453,-209,331,815,1150,940,364,678,599,170
2015,-4750,-4578,-3613,-2943,-3029,-3291,-2974,-2362,-1554,-841,-453,-329,-744,-578,-213,-250
2016,-4250,-3869,-2764,-1995,-1970,-1969,-1512,-1182,-744,-314,-61,85,-501,-135,-427,-750
2017,-3750,-3750,-2973,-2349,-2422,-2347,-1906,-1594,-1098,-768,-633,-632,-956,-710,-1112,-1250
2018,-4250,-4250,-3756,-3134,-2580,-2675,-2387,-1599,-866,-284,-69,-110,-713,-582,-736,-750
