,4824,4840,4845,4846,4851,4862,4870,4877,4885,4886,4890,4895,4900,4910,4915,4917,4922,4935,4940,4950,4962,4970,4975,4980,5010,5015,5016,5022,5030,5035,5041,5050,5100,5102,5127,5150,5200,5225,5250,5300,5325,5350,5400,5425,5450,5550,5580,5605,5650,5680,5705,5730
1995,-5460.0,,,,,-8470.0,,,,,-4708.0,,,,,,-6598.0,,,-6580.0,,-4585.0,,,,-3675.0,,,,,,,,,,,,-833.0,,,,,,,,,634.0,,,,,
1996,,,,-5184.0,,,,,,-2052.0,,,,-2250.0,,,,,,,-1656.0,,,,,,-2196.0,,,,-324.0,,-180.0,,,,,302.0,,,,432.0,,,,,832.0,,,,,
1997,,-2030.0,,,,,-3710.0,,,,,,,,-3617.0,,,,,,,-2683.0,,,-3430.0,,,,,-2240.0,,,-1199.0,,,,,875.0,,,,1015.0,,,,,896.0,,,,,
1998,,,,,-3298.0,,,-5202.0,,,,,-4998.0,,,-3434.0,,,-4590.0,,,,,-4913.0,,,,,-2210.0,,,,,102.0,,,227.0,,,493.0,,,,619.0,,759.0,,,691.0,,,1122.0
1999,,,-825.0,,,,-792.0,,,,,-726.0,,,,,,-187.0,,,,,281.0,,,,,611.0,,,,,,,565.0,,,,,,714.0,,,,,1300.0,,,,,1056.0,
2000,,,-2045.0,,,,-1563.0,,,,,-1174.0,,,,,,-717.0,,,,,-172.0,,,,,405.0,,,,,,,832.0,,,,,,750.0,,,,,,,890.0,,,,
2001,,,-4962.0,,,,-4876.0,,,,,-3547.0,,,,,,-3287.0,,,,,,-3060.0,,,,,,,,-441.0,,,,190.0,,,380.0,,,460.0,,,540.0,695.0,,,,940.0,,
2002,,,-3069.0,,,,-2497.0,,,,,-4999.0,,,,,,-4907.0,,,,,,-4410.0,,,,,,,,-1286.0,,,,115.0,,,230.0,,,375.0,,,500.0,815.0,,,,1015.0,,
2003,,,-6633.0,,,,-6330.0,,,,,-5934.0,,,,,,-6497.0,,,,,,-5703.0,,,,,,,,-2558.0,,,,-1380.0,,,338.0,,,675.0,,,810.0,810.0,,,,810.0,,
2004,,,-5420.0,,,,-4323.0,,,,,-4171.0,,,,,,-4147.0,,,,,,-3435.0,,,,,,,,-2004.0,,,,82.0,,,250.0,,,370.0,,,661.0,892.0,,,,957.0,,
2005,,,-6580.0,,,,-4838.0,,,,,-4670.0,,,,,,-4259.0,,,,,,-4003.0,,,,,,,,-2360.0,,,,-1177.0,,,520.0,,,780.0,,,878.0,878.0,,,,878.0,,
2006,,,,,,,-4066.0,,,,,-3679.0,,,,,,-2598.0,,,,,,-2365.0,,,,,,,,-1843.0,,,,-1312.0,,,,,,835.0,477.0,,910.0,981.0,,,,986.0,,
2007,,,,,,,-4502.0,,,,,-4028.0,,,,,,-3335.0,,,,,,-2761.0,,,,,,,,-2001.0,,,,-1546.0,,,,,,551.0,292.0,,752.0,803.0,,,,897.0,,
2008,,,,,,,-2626.0,,,,,-1111.0,,,,,,-641.0,,,,,,-179.0,,,,,,,,59.0,,,,146.0,,,,,,336.0,235.0,,1077.0,1078.0,,,,1079.0,,
2009,,,,,,,,,-4646.0,,,,,,,,,-4000.0,,,,,,-3907.0,,,,,,,,-2232.0,,,,-1484.0,,,502.0,,,757.0,,,828.0,818.0,,,,821.0,,
2010,,,,,,,,,-5468.0,,,,,,,,,-5117.0,,,,,,-4262.0,,,,,,,,-4158.0,,,,-1492.0,,,505.0,,,761.0,,,1430.0,1433.0,,,,1433.0,,
2014,,,,,,,-3630.0,,,,,-3050.0,,,,,,-2880.0,,,,,,-2034.0,,,,,,,,-1080.0,,,,0.0,,,150.0,,,300.0,,,800.0,800.0,,,,800.0,,
2016,,,,,,,-2750.0,,,,,-2220.0,,,,,,-1870.0,,,,,,-1240.0,,,,,,,,-1110.0,,,,-550.0,,,10.0,,,140.0,,,715.0,715.0,,,,715.0,,
2017,,,,,,,-3957.0,,,,,-3123.0,,,,,,-2342.0,,,,,,-1690.0,,,,,,,,-1419.0,,,,-692.0,,,35.0,,,160.0,,,815.0,815.0,,,,815.0,,
