,1850,1950,2050,2150,2250,2350,2450,2550
1965,-2520.0,-1760.0,-680.0,-170.0,110.0,220.0,180.0,790.0
1966,-1730.0,-450.0,90.0,280.0,150.0,940.0,1430.0,1760.0
1967,-3000.0,-2140.0,-1310.0,-1140.0,-640.0,-280.0,1080.0,1500.0
1968,-2630.0,-1700.0,-70.0,230.0,1060.0,1080.0,1900.0,2000.0
1969,-2360.0,-1660.0,-270.0,340.0,590.0,890.0,2000.0,2000.0
1970,-3660.0,-2680.0,-1790.0,-1130.0,-570.0,-230.0,1000.0,1000.0
1971,-1240.0,-1610.0,-530.0,-210.0,350.0,850.0,2000.0,2000.0
1972,-2000.0,-1550.0,-360.0,20.0,270.0,350.0,1500.0,1500.0
1973,-2170.0,-1260.0,-380.0,-160.0,360.0,550.0,1500.0,1500.0
1974,-1000.0,-650.0,370.0,930.0,1430.0,1540.0,2500.0,2500.0
1981,-3420.0,-2680.0,-1260.0,-550.0,-380.0,170.0,500.0,500.0
1982,-4000.0,-2610.0,-640.0,10.0,-240.0,230.0,500.0,500.0
1983,-2000.0,-1660.0,-520.0,-200.0,-150.0,230.0,1500.0,1500.0
1984,-2000.0,-1540.0,-460.0,20.0,180.0,410.0,1000.0,1000.0
1985,-4000.0,-2850.0,-1820.0,-1680.0,-1610.0,-1570.0,-500.0,-500.0
1986,-3850.0,-2550.0,-1373.0,-915.0,-990.0,-502.0,0.0,0.0
1987,-3200.0,-2379.0,-1070.0,-477.0,-456.0,302.0,1000.0,1000.0
1988,-2500.0,-1860.0,-1305.0,-535.0,-790.0,-233.0,833.0,564.0
1989,-4400.0,-2480.0,-1400.0,-810.0,0.0,190.0,1180.0,1500.0
1994,-2946.0,-2695.0,-2417.0,-1900.0,-1288.0,-816.0,55.0,79.0
1995,-3771.0,-3180.0,-2429.0,-2696.0,-2540.0,-1450.0,-580.0,-569.0
2004,-3930.0,-2890.0,-2470.0,-1940.0,-1570.0,-1225.0,-950.0,-680.0
2005,-4500.0,-2160.0,-1300.0,-960.0,-710.0,-280.0,200.0,680.0
