,4637,4645,4657,4662,4687,4690,4694,4705,4710,4712,4725,4730,4735,4737,4750,4755,4762,4765,4770,4785,4787,4790,4795,4805,4810,4812,4815,4825,4830,4837,4845,4850,4854,4855,4862,4870,4875,4885,4887,4890,4905,4912,4915,4925,4935,4937,4945,4955,4962,4965,4970,4975,4995,5016,5025,5050,5055,5062,5075,5085,5150
2005,,-6180.0,,-8858.0,-7045.0,,,,,-6103.0,,,,-5499.0,,,-4875.0,,,,-4532.0,,,,,-3428.0,,,,-2815.0,,,,,-1807.0,,,,-1021.0,,,,,,,,,,,,,,,,855.0,,,,,,
2006,-9.0,,,-100.0,-239.0,,,,,-330.0,,,,-366.0,,,-281.0,,,,-245.0,,,,,-165.0,,,,-74.0,,,,,-34.0,,,,6.0,,,40.0,,,,63.0,,,23.0,,,,,,,,,,,,
2007,-6.0,,,-79.0,-231.0,,,,,-334.0,,,,-314.0,,,-214.0,,,,-216.0,,,,,-167.0,,,,-55.0,,,,,5.0,,,,13.0,,,-4.0,,,,18.0,,,41.0,,,,,,,,,11.0,,,
2008,,,-38.0,,-107.0,,,,,-176.0,,,,-94.0,,,-71.0,,,,-84.0,,,,,-36.0,,,,,,,139.0,,,,,,,,,,,,,,,,,,,,,556.0,,,,,,,
2009,,,,-47.0,-125.0,,,,,-196.0,,,,-185.0,,,-97.0,,,,-63.0,,,,,-17.0,,,,15.0,,,,,60.0,,,,29.0,,,29.0,,,,72.0,,,,,,,,,,,,,,,
2012,,,,,,,,-8000.0,,,,,-7584.0,,,,,-5886.0,,,,,-4753.0,,,,,-4031.0,,,,,,-2224.0,,,,-736.0,,,,,679.0,,,,1813.0,,,,3325.0,,,,,,,,,,
2013,,,,,,,,-4389.0,,,,,,,,-3688.0,,,,,,,,-2820.0,,,,,,,,,,-1730.0,,,,,,,235.0,,,,,,,1000.0,,,,,,,,,,,,,
2014,,,,,,,-4535.0,,,,-4367.0,,,,,-3439.0,,,,-2731.0,,,,,,,-1830.0,,,,-1067.0,,,,,,-242.0,,,,-428.0,,,,260.0,,,,,,,,,,,1287.0,,,,,
2015,,,,,,,,-4207.0,,,-3661.0,,,,,-3217.0,,,,-2487.0,,,,,,,-1704.0,,,,-1207.0,,,,,,-764.0,,,,131.0,,,,693.0,,,,,736.0,,,748.0,,853.0,,978.0,,,1000.0,
2016,,,,,,-7750.0,,,-7686.0,,,-7379.0,,,-7284.0,,,,-6528.0,,,-5786.0,,,,,-5683.0,,,,-5104.0,,,,,,-3815.0,,,,-2294.0,,,,-286.0,,,,,1022.0,,,1094.0,,641.0,,528.0,,,500.0,
2017,,,,,,,,,-5750.0,,,-5709.0,,,-5242.0,,,,-4733.0,,,-3857.0,,,-2884.0,,,,-2519.0,,,-2493.0,,,,-2209.0,,,,-1700.0,,,,-937.0,,,,,,,,105.0,,,637.0,,,,592.0,,644.0
2018,,,,,,,,,,,,-2600.0,,,-2489.0,,,,-2853.0,,,-2968.0,,,-2814.0,,,,-2601.0,,,-2128.0,,,,-1671.0,,,,-1146.0,,,,-413.0,,,,,,,,448.0,,,1198.0,,,,1344.0,,961.0
