,2175,2475,2750
2015,-4682.0,-1432.0,942.0
2016,-4836.0,-3331.0,1007.0
2017,-4561.0,-1678.0,1.0
2018,-4148.0,-1787.0,392.0
2019,-4035.0,-1770.0,1127.0
