,1825,1875,1925,1975,2025,2075,2125,2175,2225,2275,2325,2375,2425,2475,2525,2575,2625,2675,2725,2775,2825,2875,2925,2975,3025,3075,3125,3175,3225,3275,3325,3375,3425,3475,3525
1895,-8711.348623853211,-8426.75,-7994.25,-7657.25,-7415.75,-7179.5,-6948.5,-6573.0,-6053.0,-5393.25,-4593.75,-3975.75,-3539.25,-3237.75,-3071.25,-2913.25,-2763.75,-2426.75,-1902.25,-1413.75,-961.25,-575.5,-256.5,17.5,246.5,427.0,559.0,695.75,837.25,950.5,1035.5,1123.75,1215.25,1254.348623853211,1241.045871559633
1896,-6879.7192982456145,-6754.75,-6630.25,-6471.75,-6279.25,-6043.5,-5764.5,-5363.5,-4840.5,-4191.0,-3415.0,-2956.75,-2816.25,-2455.0,-1873.0,-1495.75,-1323.25,-1064.25,-718.75,-370.0,-18.0,312.5,621.5,920.25,1208.75,1458.75,1670.25,1883.25,2097.75,2253.0,2349.0,2450.0,2556.0,2588.3577981651374,2547.0733944954127
1897,-6029.0,-5674.75,-5356.25,-5086.75,-4866.25,-4644.75,-4422.25,-4159.25,-3855.75,-3415.5,-2838.5,-2348.5,-1945.5,-1641.5,-1436.5,-1168.25,-836.75,-556.75,-328.25,-15.0,383.0,646.5,775.5,942.75,1148.25,1326.0,1476.0,1645.75,1835.25,1979.75,2079.25,2183.5,2292.5,2323.8348623853212,2277.5045871559632
1898,-10594.181818181818,-10197.0,-9799.0,-9368.5,-8905.5,-8437.0,-7963.0,-7304.25,-6460.75,-5711.5,-5056.5,-4553.25,-4201.75,-3676.5,-2977.5,-2308.25,-1668.75,-1136.0,-710.0,-322.5,26.5,253.0,357.0,465.5,578.5,668.5,735.5,816.75,912.25,977.5,1012.5,1032.25,1036.75,991.9816513761468,897.9449541284404
1899,-8688.727272727272,-8422.75,-8176.25,-7937.0,-7705.0,-7432.5,-7119.5,-6668.25,-6078.75,-5450.75,-4784.25,-4285.25,-3953.75,-3604.25,-3236.75,-2923.25,-2663.75,-2255.0,-1697.0,-1146.75,-604.25,-221.5,1.5,214.5,417.5,588.5,727.5,871.5,1020.5,1137.25,1221.75,1307.0,1393.0,1421.483870967742,1392.4516129032259
1900,-9158.363636363636,-8928.75,-8682.25,-8421.5,-8146.5,-7835.75,-7489.25,-7018.0,-6422.0,-5847.5,-5294.5,-4881.75,-4609.25,-4187.75,-3617.25,-3092.25,-2612.75,-2224.75,-1928.25,-1413.5,-680.5,-267.5,-174.5,-37.25,144.25,301.25,433.75,575.25,725.75,848.5,943.5,1047.25,1159.75,1215.078341013825,1213.2350230414747
1901,-8034.917431192661,-7800.0,-7532.0,-7184.5,-6757.5,-6370.5,-6023.5,-5623.25,-5169.75,-4576.0,-3842.0,-3273.75,-2871.25,-2720.0,-2820.0,-2743.5,-2490.5,-2143.25,-1701.75,-1267.75,-841.25,-537.0,-355.0,-164.5,34.5,218.25,386.75,571.75,773.25,932.25,1048.75,1157.5,1258.5,1302.5483870967741,1289.6451612903227
1902,-7194.7962962962965,-6881.5,-6572.5,-6217.25,-5815.75,-5481.25,-5213.75,-4839.75,-4359.25,-3887.0,-3423.0,-3093.5,-2898.5,-2600.75,-2200.25,-1827.75,-1483.25,-1214.5,-1021.5,-692.25,-226.75,70.25,198.75,354.75,538.25,689.5,808.5,938.75,1080.25,1203.5,1308.5,1419.0,1535.0,1588.3917050691243,1579.1751152073732
1903,,-6721.75,-6411.25,-6070.25,-5698.75,-5372.25,-5090.75,-4692.75,-4178.25,-3784.25,-3510.75,-3191.75,-2827.25,-2449.0,-2057.0,-1715.5,-1424.5,-1218.25,-1096.75,-799.0,-325.0,-30.0,86.0,201.5,316.5,418.75,508.25,605.5,710.5,802.75,882.25,959.0,1033.0,1065.3917050691243,1056.1751152073732
1904,,-9098.75,-8610.25,-8089.0,-7535.0,-7074.0,-6706.0,-6218.25,-5610.75,-5108.75,-4712.25,-4425.25,-4247.75,-3908.0,-3406.0,-2934.75,-2494.25,-2119.25,-1809.75,-1352.25,-746.75,-319.75,-71.25,159.75,373.25,550.5,691.5,844.75,1010.25,1151.5,1268.5,1382.75,1494.25,1544.0092165898618,1532.0276497695852
1905,,-8462.75,-8112.25,-7763.0,-7415.0,-7102.0,-6824.0,-6396.25,-5818.75,-5383.75,-5091.25,-4861.0,-4693.0,-4296.5,-3671.5,-3137.25,-2693.75,-2413.0,-2295.0,-1991.0,-1501.0,-1184.25,-1040.75,-817.75,-515.25,-257.25,-43.75,148.0,318.0,465.75,591.25,711.5,826.5,891.3732718894009,906.1198156682028
1906,,-9505.918781725888,-9020.639593908629,-8515.25,-7989.75,-7568.25,-7250.75,-6782.5,-6163.5,-5832.75,-5790.25,-5689.25,-5529.75,-4885.5,-3756.5,-3006.75,-2636.25,-2327.5,-2080.5,-1699.5,-1184.5,-752.25,-402.75,-114.0,114.0,286.0,402.0,524.25,652.75,764.5,859.5,951.75,1041.25,1081.852534562212,1073.557603686636
1907,,-6090.761904761905,-5887.587301587301,-5595.0,-5213.0,-4881.75,-4601.25,-4205.0,-3693.0,-3197.25,-2717.75,-2400.25,-2244.75,-2150.25,-2116.75,-1926.5,-1579.5,-1148.5,-633.5,-66.25,553.25,794.25,656.75,636.5,733.5,836.25,944.75,1054.0,1164.0,1253.0,1321.0,1388.5,1455.5,1479.3225806451612,1459.967741935484
1908,,,-9128.955223880597,-8576.25,-7938.75,-7385.75,-6917.25,-6286.5,-5493.5,-4799.0,-4203.0,-3727.0,-3371.0,-3011.0,-2647.0,-2207.25,-1691.75,-1119.25,-489.75,-7.25,328.25,630.0,898.0,1124.75,1310.25,1436.0,1502.0,1564.0,1622.0,1646.5,1637.5,1617.75,1587.25,1503.10599078341,1365.3179723502303
1909,,,-6951.759124087591,-6680.25,-6354.75,-6050.25,-5766.75,-5327.25,-4731.75,-4083.5,-3382.5,-2936.75,-2746.25,-2629.25,-2585.75,-2258.5,-1647.5,-1194.25,-898.75,-670.25,-508.75,-240.25,135.25,425.5,630.5,783.0,883.0,984.25,1086.75,1169.25,1231.75,1292.5,1351.5,1371.552995391705,1352.6589861751152
1980,,,,,,,,,,,-4005.0,-3010.0,-2670.0,-2232.5,-1697.5,-1275.0,-965.0,-640.0,-300.0,100.0,560.0,817.5,872.5,950.0,1050.0,1332.5,1797.5,2317.5,2892.5,3272.5,3457.5,3740.0,4120.0,4408.25327510917,4604.759825327511
1981,,,,,,,,,,,-4659.166666666667,-3707.5,-3262.5,-2812.5,-2357.5,-2022.5,-1807.5,-1532.5,-1197.5,-792.5,-317.5,-7.5,137.5,265.0,375.0,632.5,1037.5,1505.0,2035.0,2372.5,2517.5,2772.5,3137.5,3451.004366812227,3713.0131004366813
1982,,,,,,,,,,,-5422.5,-4582.5,-4127.5,-3670.0,-3210.0,-2835.0,-2545.0,-2210.0,-1830.0,-1397.5,-912.5,-572.5,-377.5,-197.5,-32.5,302.5,807.5,1320.0,1840.0,2200.0,2400.0,2695.0,3085.0,3382.6200873362445,3587.8602620087336
2013,,,,,,,,,,-5161.75,-4633.25,-4238.75,-3978.25,-3708.25,-3428.75,-3077.5,-2654.5,-2085.5,-1370.5,-746.0,-212.0,174.0,412.0,597.0,729.0,875.5,1036.5,1231.5,1460.5,1660.25,1830.75,1915.75,1915.25,1796.75,1560.25
2014,,,,,,,,,,-4490.115183246074,-4151.371727748691,-3949.25,-3883.75,-3732.25,-3494.75,-3215.25,-2893.75,-2442.5,-1861.5,-1284.0,-710.0,-231.75,150.75,424.25,588.75,726.75,838.25,1003.75,1223.25,1389.0,1501.0,1571.0,1599.0,1567.3367346938776,1476.0102040816328
