,2650,2675,2676,2677,2678,2679,2680,2681,2682,2683,2684,2750,2850,2950,3050,3150,3250,3350,3450,3528,3531,3532,3533,3534,3535,3536,3537,3550,3551
1993,,,,,,,,,-1047.0,,,-586.0,-90.0,311.0,643.0,924.0,1181.0,1367.0,1470.0,,,1365.0,,,,,,,
1994,,,,,,,,-896.0,,,,-573.0,-215.0,64.0,302.0,524.0,750.0,916.0,1005.0,,,930.0,,,,,,,
1995,,,,,,,-1487.0,,,,,-1046.0,-841.0,-304.0,142.0,462.0,720.0,895.0,985.0,,,903.0,,,,,,,
1996,,,,,,-1989.0,,,,,,-1624.0,-1356.0,-935.0,-504.0,-126.0,156.0,374.0,512.0,,,513.0,,,,,,,
1997,,,,,-2552.0,,,,,,,-1996.0,-1708.0,-1023.0,-352.0,113.0,475.0,757.0,918.0,,,868.0,,,,,,,
1998,,,,-3541.0,,,,,,,,-3170.0,-2768.0,-2392.0,-1901.0,-1417.0,-919.0,-505.0,-267.0,,,-258.0,,,,,,,
1999,,,,-3001.0,,,,,,,,-2431.0,-2202.0,-1476.0,-794.0,-263.0,145.0,447.0,611.0,,,578.0,,,,,,,
2000,,,,,-4304.0,,,,,,,-3068.0,-2439.0,-1187.0,-68.0,540.0,974.0,1288.0,1452.0,1241.0,,,,,,,,,
2001,,,,,,,-3395.0,,,,,-2359.0,-1044.0,6.0,686.0,1250.0,1696.0,2004.0,2132.0,1792.0,,,,,,,,,
2002,,,,,-3506.0,,,,,,,-2696.0,-1580.0,-426.0,370.0,949.0,1401.0,1715.0,1871.0,1552.0,,,,,,,,,
2003,,,,,-5601.0,,,,,,,-4879.0,-3664.0,-2627.0,-1542.0,-563.0,144.0,597.0,885.0,,697.0,,,,,,,,
2004,,,,,,-3269.0,,,,,,-2718.0,-2118.0,-1355.0,-577.0,6.0,359.0,635.0,818.0,,,,,695.0,,,,,
2005,,,,,,,-4273.0,,,,,-3769.0,-2724.0,-1619.0,-427.0,283.0,743.0,1078.0,1225.0,,,,,1045.0,,,,,
2006,,,,,,,,,-4403.0,,,-3953.0,-3140.0,-2204.0,-1264.0,-429.0,180.0,491.0,669.0,,,,560.0,,,,,,
2007,,,,,,,,-4855.0,,,,-3862.0,-2784.0,-1215.0,-29.0,675.0,1257.0,1716.0,1987.0,,,,1803.0,,,,,,
2008,,,,,,,,-4439.0,,,,-3642.0,-2880.0,-1511.0,-247.0,372.0,828.0,1162.0,1353.0,,,1205.0,,,,,,,
2009,,,,,,,,-3043.0,,,,-2727.0,-1711.0,-923.0,-161.0,362.0,829.0,1187.0,1420.0,,,1266.0,,,,,,,
2010,,,,,,,,,-3369.0,,,-3050.0,-2234.0,-1536.0,-828.0,-174.0,337.0,696.0,924.0,,,805.0,,,,,,,
2011,,,,,,,,-3652.0,,,,-3338.0,-2416.0,-1653.0,-904.0,-260.0,194.0,506.0,726.0,,,,681.0,,,,,,
2012,,,,,,,,,,,-4457.0,-3790.0,-3249.0,-2228.0,-1094.0,-233.0,481.0,1042.0,1410.0,,,,1292.0,,,,,,
2013,,,,,,,,,,,-2170.0,-1866.0,-1067.0,-334.0,243.0,669.0,1076.0,1394.0,1589.0,,,,1414.0,,,,,,
2014,,,,,,,,,,,-3259.0,-2601.0,-1753.0,-685.0,171.0,815.0,1361.0,1763.0,1985.0,,,,1789.0,,,,,,
2015,-4586.0,,,,,,,,,,,-4133.0,-3011.0,-2101.0,-1180.0,-388.0,81.0,332.0,498.0,,,,,,,,,497.0,
2016,-2340.0,,,,,,,,,,,-2032.0,-1323.0,-612.0,-24.0,348.0,715.0,998.0,1162.0,,,,,,,,,1026.0,
2017,-4066.0,,,,,,,,,,,-3811.0,-3186.0,-2556.0,-1821.0,-1144.0,-511.0,-39.0,281.0,,,,,,,,,277.0,
2018,-4246.0,,,,,,,,,,,-3924.0,-2732.0,-1776.0,-808.0,-26.0,619.0,1114.0,1407.0,,,,,,,,,1254.0,
2019,-3824.0,,,,,,,,,,,-3274.0,-2546.0,-1530.0,-722.0,-106.0,449.0,878.0,1116.0,,,,,,,,,1005.0,
