,1150,1160,1170,1190,1210,1230,1250,1270,1290,1310,1330,1350,1370,1390,1410,1430,1450,1470,1490,1510,1530,1550,1570,1590,1610,1630,1650,1660,1670,1690,1710,1730,1750,1770,1790,1810,1830,1850
1995,-1250.0,,-1380.0,-1440.0,-1290.0,-1190.0,-1130.0,-1320.0,-1090.0,-670.0,-1030.0,-780.0,-290.0,-330.0,260.0,640.0,450.0,230.0,340.0,1740.0,1540.0,1500.0,1750.0,2040.0,2380.0,2970.0,3320.0,,3410.0,3540.0,3430.0,,,,,,,
1996,-1380.0,,-1540.0,-1980.0,-2220.0,-2190.0,-2310.0,-2540.0,-2310.0,-2210.0,-2230.0,-2000.0,-1660.0,-1510.0,-610.0,40.0,-240.0,-560.0,-100.0,800.0,740.0,630.0,700.0,800.0,1120.0,1620.0,2140.0,,2230.0,2340.0,2730.0,3550.0,,,,,,
1997,-690.0,,-1190.0,-1690.0,-2110.0,-2240.0,-2280.0,-2560.0,-2190.0,-1890.0,-1920.0,-1720.0,-1280.0,-860.0,-710.0,-760.0,-960.0,-910.0,-300.0,340.0,110.0,150.0,240.0,540.0,620.0,800.0,630.0,,600.0,570.0,640.0,,,,,,,
1998,-2450.0,,-2580.0,-2570.0,-2370.0,-2060.0,-1860.0,-2000.0,-1790.0,-1630.0,-1610.0,-1460.0,-1280.0,-1170.0,-800.0,-610.0,-650.0,-730.0,-460.0,180.0,210.0,170.0,190.0,470.0,730.0,1050.0,1180.0,,1180.0,1090.0,1210.0,,,,,,,
1999,-2480.0,,-2560.0,-2560.0,-2580.0,-2490.0,-2250.0,-2210.0,-1670.0,-1350.0,-1380.0,-1240.0,-1020.0,-950.0,-480.0,-190.0,-270.0,-280.0,-90.0,690.0,510.0,360.0,470.0,910.0,1280.0,1790.0,2060.0,,2140.0,2110.0,1800.0,,,,,,,
2000,-70.0,,-380.0,-830.0,-1040.0,-960.0,-980.0,-1150.0,-370.0,-300.0,-940.0,-1120.0,-490.0,-160.0,0.0,390.0,590.0,640.0,670.0,1430.0,1500.0,1530.0,1640.0,1970.0,2140.0,2500.0,2830.0,,2780.0,2610.0,2630.0,,,,,,,
2001,-1620.0,,-2040.0,-2340.0,-2430.0,-2300.0,-2340.0,-2480.0,-1940.0,-1810.0,-1920.0,-1840.0,-1590.0,-1580.0,-1110.0,-890.0,-890.0,-800.0,-350.0,-110.0,0.0,30.0,70.0,370.0,800.0,1310.0,1440.0,,1390.0,1320.0,700.0,,,,,,,
2002,-2810.0,,-3130.0,-3500.0,-3660.0,-3540.0,-3410.0,-3660.0,-3320.0,-3100.0,-3130.0,-2920.0,-2590.0,-2120.0,-1330.0,-840.0,-810.0,-890.0,-300.0,650.0,550.0,500.0,690.0,910.0,1530.0,2200.0,2480.0,,2390.0,2280.0,2640.0,3610.0,,,,,,
2003,-3490.0,,-3520.0,-3450.0,-3250.0,-3010.0,-2910.0,-2990.0,-2570.0,-2410.0,-2480.0,-2220.0,-2040.0,-1800.0,-1390.0,-1220.0,-1240.0,-1160.0,-730.0,-100.0,-250.0,-320.0,-150.0,100.0,460.0,730.0,1080.0,,1240.0,1430.0,1690.0,2260.0,,,,,,
2004,-1300.0,,-1440.0,-1840.0,-1930.0,-1750.0,-1680.0,-1800.0,-1210.0,-1120.0,-1210.0,-990.0,-790.0,-700.0,-320.0,-250.0,-560.0,-670.0,-190.0,670.0,420.0,400.0,400.0,710.0,1020.0,1460.0,1780.0,,1780.0,1410.0,1760.0,2720.0,,,,,,
