,2454,2455,2480,2481,2483,2499,2550,2566,2567,2568,2572,2573,2576,2580,2583,2589,2596,2650,2659,2750,2850,2950,3050,3150,3250,3350,3450,3550,3650,3736,3740,3750,3805,3806,3808,3810,3850
1967,,,,-4322.0,,,-4741.0,,,,,,,,,,,-4234.0,,-3498.0,-2737.0,-1713.0,-758.0,-143.0,255.0,57.0,-19.0,-175.0,-1008.0,,-1556.0,,,,,,
1968,,,-3311.0,,,,-3634.0,,,,,,,,,,,-3205.0,,-2604.0,-1944.0,-720.0,314.0,743.0,1046.0,651.0,383.0,226.0,-418.0,,-934.0,,,,,,
1969,,,-3178.0,,,,-3481.0,,,,,,,,,,,-2851.0,,-2068.0,-1110.0,-346.0,179.0,537.0,733.0,573.0,473.0,262.0,-522.0,,-1166.0,,,,,,
1970,,,,,-2687.0,,-3226.0,,,,,,,,,,,-2455.0,,-1862.0,-1433.0,-724.0,-16.0,366.0,555.0,501.0,496.0,313.0,-359.0,,-885.0,,,,,,
1971,,,,,,-6344.0,-6523.0,,,,,,,,,,,-6100.0,,-5645.0,-5097.0,-3857.0,-2706.0,-1339.0,-511.0,-798.0,-824.0,-969.0,-1764.0,,-2198.0,,,,,,
1972,-4037.0,,,,,,-4480.0,,,,,,,,,,,-3444.0,,-3001.0,-2645.0,-1741.0,-895.0,-29.0,422.0,312.0,239.0,126.0,-453.0,-917.0,,,,,,,
1973,,,,,,-4348.0,-4635.0,,,,,,,,,,,-3740.0,,-3024.0,-2413.0,-1545.0,-712.0,-58.0,202.0,176.0,180.0,68.0,-529.0,-1033.0,,,,,,,
1974,,,,,,-3713.0,-3863.0,,,,,,,,,,,-3338.0,,-3000.0,-2728.0,-1542.0,-209.0,116.0,-20.0,-112.0,-6.0,-129.0,-784.0,-1268.0,,,,,,,
1975,,,,,,-3461.0,-3525.0,,,,,,,,,,,-2772.0,,-2308.0,-2195.0,-1270.0,-154.0,363.0,610.0,390.0,248.0,43.0,-808.0,-1458.0,,,,,,,
1976,,,,,,-4952.0,-5360.0,,,,,,,,,,,-4780.0,,-4365.0,-4174.0,-2997.0,-1732.0,-744.0,-132.0,-321.0,-360.0,-463.0,-1048.0,-1428.0,,,,,,,
1977,,,,,,-4012.0,-3882.0,,,,,,,,,,,-2460.0,,-1661.0,-1140.0,-390.0,317.0,903.0,1224.0,1129.0,991.0,695.0,-73.0,-747.0,,,,,,,
1978,,,,,,-3186.0,-2986.0,,,,,,,,,,,-2030.0,,-1444.0,-951.0,-114.0,638.0,1061.0,1327.0,1072.0,840.0,588.0,-81.0,-688.0,,,,,,,
1979,,,,,,-5045.0,-5289.0,,,,,,,,,,,-4413.0,,-3820.0,-3336.0,-2236.0,-1098.0,-217.0,249.0,51.0,-19.0,-212.0,-1045.0,-1623.0,,,,,,,
1980,,,,,,-2465.0,-2333.0,,,,,,,,,,,-1866.0,,-1443.0,-1186.0,-231.0,911.0,1398.0,1595.0,1084.0,786.0,537.0,-72.0,-618.0,,,,,,,
