,2175,2225,2275,2325,2375,2425,2475,2525,2575,2625,2675,2725,2775,2825,2875
2007,-5105.0,-4432.0,-3305.0,-3260.0,-2588.0,-1693.0,-946.0,-635.0,-136.0,936.0,1399.0,1617.0,1625.0,1625.0,1625.0
2008,-4670.0,-4207.0,-3675.0,-3270.0,-2589.0,-2057.0,-1133.0,-973.0,-170.0,339.0,384.0,569.0,625.0,625.0,625.0
2009,-5250.0,-4893.0,-4162.0,-3555.0,-2734.0,-2027.0,-1319.0,-1094.0,-638.0,145.0,39.0,152.0,212.0,970.0,1125.0
2010,-5250.0,-5223.0,-4716.0,-3642.0,-2607.0,-1891.0,-1208.0,-935.0,-126.0,368.0,360.0,559.0,366.0,921.0,1125.0
2011,-5250.0,-5250.0,-4659.0,-3801.0,-3100.0,-2441.0,-2105.0,-2050.0,-2342.0,-1496.0,-1118.0,-810.0,-453.0,29.0,125.0
2012,-5750.0,-5431.0,-4423.0,-3865.0,-2978.0,-2782.0,-1769.0,-1474.0,-737.0,-232.0,61.0,25.0,71.0,338.0,378.0
2013,-4250.0,-4250.0,-3835.0,-2982.0,-2092.0,-1519.0,-1044.0,-502.0,-63.0,640.0,833.0,1335.0,624.0,1209.0,1846.0
2014,,-2750.0,-2750.0,-2540.0,-2031.0,-1287.0,-705.0,-272.0,18.0,386.0,414.0,473.0,473.0,625.0,628.0
2015,,-3750.0,-3750.0,-3769.0,-3632.0,-3363.0,-2917.0,-2615.0,-2309.0,-1239.0,-537.0,-253.0,-127.0,-63.0,-256.0
2016,,-4250.0,-4249.0,-3898.0,-3329.0,-2581.0,-1643.0,-1144.0,-1412.0,-163.0,220.0,451.0,-144.0,125.0,133.0
2017,,-4250.0,-4249.0,-3886.0,-3521.0,-2825.0,-1999.0,-1315.0,-1135.0,-100.0,157.0,109.0,-104.0,125.0,136.0
2018,,-4750.0,-4749.0,-4390.0,-4082.0,-3328.0,-2209.0,-1909.0,-1969.0,-999.0,-830.0,-387.0,-245.0,125.0,128.0
