,2625,2675,2725,2775
2007,-2570,-1783,-1386,-1235
2008,-1265,-790,-258,-242
2009,-1798,-1261,-813,-403
2010,-1222,-1021,-408,-254
2011,-2330,-2238,-1566,-1295
2012,-1939,-1356,-605,-971
2013,-1203,-811,79,-67
2014,-1502,-1405,-870,-727
2015,-1966,-1841,-836,-743
2016,-1011,-835,-401,-64
2017,-1931,-1964,-847,-1457
