YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1964,1320,NO,GRAAFJELLSBREA,9.440999900000001,1927.0,-1648.0,279.0,
1965,1320,NO,GRAAFJELLSBREA,9.442000300000002,2010.0,-2292.0,-282.0,
1966,1320,NO,GRAAFJELLSBREA,9.442000300000002,1580.0,-2931.0,-1351.0,
1967,1320,NO,GRAAFJELLSBREA,9.442000300000002,3456.0,-2145.0,1311.0,
1968,1320,NO,GRAAFJELLSBREA,9.442000300000002,3389.0,-2817.0,572.0,
1974,1320,NO,GRAAFJELLSBREA,9.5489997,2156.0,-1555.0,601.0,
1975,1320,NO,GRAAFJELLSBREA,9.5489997,2625.0,-2253.0,372.0,
2003,1320,NO,GRAAFJELLSBREA,8.939999499999999,1904.0,-4072.0,-2167.0,
2004,1320,NO,GRAAFJELLSBREA,8.939999499999999,2037.0,-2852.0,-815.0,
2005,1320,NO,GRAAFJELLSBREA,8.939999499999999,3159.0,-3148.0,10.0,
2006,1320,NO,GRAAFJELLSBREA,8.939999499999999,1397.0,-4445.0,-3048.0,
2007,1320,NO,GRAAFJELLSBREA,8.411999699999999,3584.0,-2897.0,687.0,
2008,1320,NO,GRAAFJELLSBREA,8.411999699999999,2655.0,-2796.0,-140.0,
2009,1320,NO,GRAAFJELLSBREA,8.411999699999999,2342.0,-2883.0,-541.0,
2010,1320,NO,GRAAFJELLSBREA,8.411999699999999,1510.0,-3350.0,-1840.0,
2011,1320,NO,GRAAFJELLSBREA,8.0480003,1887.0,-4090.0,-2203.0,
2012,1320,NO,GRAAFJELLSBREA,8.0480003,2936.0,-1726.0,1209.0,
2013,1320,NO,GRAAFJELLSBREA,8.0480003,,,-1151.0,
