YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1979,695,KE,LEWIS,0.259,,,-70.0,
1980,695,KE,LEWIS,,,,-1750.0,
1981,695,KE,LEWIS,0.295,,,-1210.0,
1982,695,KE,LEWIS,0.29,,,-370.0,"Mass balance vs altitude recalculated by Dyurgerov, M. (2002): area 0.2609, bn -320."
1983,695,KE,LEWIS,0.26,,,-720.0,
1984,695,KE,LEWIS,0.261,,,-900.0,
1985,695,KE,LEWIS,0.26,,,-950.0,
1986,695,KE,LEWIS,0.26,,,-680.0,
1987,695,KE,LEWIS,0.25,,,-770.0,"Mass balance vs altitude recalculated by Dyurgerov, M. (2002): area 0.2471, bn -721"
1988,695,KE,LEWIS,0.25,,,-2030.0,"Mass balance vs altitude recalculated by Dyurgerov, M. (2002): area 0.2471, bn -2282."
1989,695,KE,LEWIS,0.25,,,770.0,
1990,695,KE,LEWIS,0.25,,,-1010.0,"Mass balance vs altitude recalculated by Dyurgerov, M. (2002): area 0.2309, bn -953."
1991,695,KE,LEWIS,0.23,,,-810.0,
1992,695,KE,LEWIS,0.23,,,-1750.0,
1993,695,KE,LEWIS,0.23,,,-480.0,
1994,695,KE,LEWIS,0.2,,,-1900.0,"Mass balance vs altitude recalculated by Dyurgerov, M. (2002): area 0.2047, bn -2287."
1995,695,KE,LEWIS,0.2,,,-450.0,
1996,695,KE,LEWIS,0.21,,,-490.0,
2011,695,KE,LEWIS,0.107,,,-1543.0,
2012,695,KE,LEWIS,0.107,,,-961.0,
2013,695,KE,LEWIS,0.107,,,-1397.0,
2014,695,KE,LEWIS,0.107,,,-934.0,
