YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1996,675,PENDENTE (VEDR.) / HANGENDERF.,-534.0,RGI50-11.00603
1997,675,PENDENTE (VEDR.) / HANGENDERF.,-12.0,RGI50-11.00603
1998,675,PENDENTE (VEDR.) / HANGENDERF.,-1182.0,RGI50-11.00603
1999,675,PENDENTE (VEDR.) / HANGENDERF.,-541.0,RGI50-11.00603
2000,675,PENDENTE (VEDR.) / HANGENDERF.,-1363.0,RGI50-11.00603
2001,675,PENDENTE (VEDR.) / HANGENDERF.,49.0,RGI50-11.00603
2002,675,PENDENTE (VEDR.) / HANGENDERF.,-1323.0,RGI50-11.00603
2003,675,PENDENTE (VEDR.) / HANGENDERF.,-2122.0,RGI50-11.00603
2004,675,PENDENTE (VEDR.) / HANGENDERF.,-429.0,RGI50-11.00603
2005,675,PENDENTE (VEDR.) / HANGENDERF.,-1372.0,RGI50-11.00603
2006,675,PENDENTE (VEDR.) / HANGENDERF.,-1780.0,RGI50-11.00603
2007,675,PENDENTE (VEDR.) / HANGENDERF.,-2154.0,RGI50-11.00603
2008,675,PENDENTE (VEDR.) / HANGENDERF.,-1484.0,RGI50-11.00603
2009,675,PENDENTE (VEDR.) / HANGENDERF.,-844.0,RGI50-11.00603
2010,675,PENDENTE (VEDR.) / HANGENDERF.,-134.0,RGI50-11.00603
2011,675,PENDENTE (VEDR.) / HANGENDERF.,-1800.0,RGI50-11.00603
2012,675,PENDENTE (VEDR.) / HANGENDERF.,-1938.0,RGI50-11.00603
2013,675,PENDENTE (VEDR.) / HANGENDERF.,-790.0,RGI50-11.00603
