YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1957,816,KZ,IGLI TUYUKSU,1.72,,,30.0,,RGI50-13.08782
1958,816,KZ,IGLI TUYUKSU,1.72,,,450.0,,RGI50-13.08782
1959,816,KZ,IGLI TUYUKSU,1.72,,,-170.0,,RGI50-13.08782
1960,816,KZ,IGLI TUYUKSU,1.72,,,210.0,,RGI50-13.08782
1961,816,KZ,IGLI TUYUKSU,1.72,,,-230.0,,RGI50-13.08782
1962,816,KZ,IGLI TUYUKSU,1.72,,,-370.0,,RGI50-13.08782
1963,816,KZ,IGLI TUYUKSU,1.72,,,400.0,,RGI50-13.08782
1964,816,KZ,IGLI TUYUKSU,1.72,,,460.0,,RGI50-13.08782
1965,816,KZ,IGLI TUYUKSU,1.72,,,-190.0,,RGI50-13.08782
1966,816,KZ,IGLI TUYUKSU,1.72,,,20.0,,RGI50-13.08782
1967,816,KZ,IGLI TUYUKSU,1.72,,,-10.0,,RGI50-13.08782
1968,816,KZ,IGLI TUYUKSU,1.72,,,-820.0,,RGI50-13.08782
1969,816,KZ,IGLI TUYUKSU,1.72,,,160.0,,RGI50-13.08782
1970,816,KZ,IGLI TUYUKSU,1.72,,,-230.0,,RGI50-13.08782
1971,816,KZ,IGLI TUYUKSU,1.72,,,-200.0,,RGI50-13.08782
1972,816,KZ,IGLI TUYUKSU,1.72,,,190.0,,RGI50-13.08782
1973,816,KZ,IGLI TUYUKSU,1.72,,,-210.0,,RGI50-13.08782
1974,816,KZ,IGLI TUYUKSU,1.72,,,-500.0,,RGI50-13.08782
1975,816,KZ,IGLI TUYUKSU,1.72,,,-270.0,,RGI50-13.08782
1976,816,KZ,IGLI TUYUKSU,1.72,,,-460.0,,RGI50-13.08782
1977,816,KZ,IGLI TUYUKSU,1.72,,,-750.0,,RGI50-13.08782
1978,816,KZ,IGLI TUYUKSU,1.72,,,-1720.0,,RGI50-13.08782
1979,816,KZ,IGLI TUYUKSU,1.72,,,-440.0,,RGI50-13.08782
1980,816,KZ,IGLI TUYUKSU,1.72,,,-460.0,,RGI50-13.08782
1981,816,KZ,IGLI TUYUKSU,1.72,,,-30.0,,RGI50-13.08782
1982,816,KZ,IGLI TUYUKSU,1.72,,,-620.0,,RGI50-13.08782
1983,816,KZ,IGLI TUYUKSU,1.72,,,-540.0,,RGI50-13.08782
1984,816,KZ,IGLI TUYUKSU,1.72,,,-1200.0,,RGI50-13.08782
1985,816,KZ,IGLI TUYUKSU,1.72,,,-550.0,,RGI50-13.08782
1986,816,KZ,IGLI TUYUKSU,1.72,,,-520.0,,RGI50-13.08782
1987,816,KZ,IGLI TUYUKSU,1.72,,,-340.0,,RGI50-13.08782
1988,816,KZ,IGLI TUYUKSU,1.72,,,-600.0,,RGI50-13.08782
1989,816,KZ,IGLI TUYUKSU,1.72,,,-460.0,,RGI50-13.08782
1990,816,KZ,IGLI TUYUKSU,1.72,,,-940.0,,RGI50-13.08782
