YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1957,356,SAINT SORLIN,-360.0,RGI50-11.03503
1958,356,SAINT SORLIN,30.0,RGI50-11.03503
1959,356,SAINT SORLIN,-1210.0,RGI50-11.03503
1960,356,SAINT SORLIN,-330.0,RGI50-11.03503
1961,356,SAINT SORLIN,110.0,RGI50-11.03503
1962,356,SAINT SORLIN,-1100.0,RGI50-11.03503
1963,356,SAINT SORLIN,270.0,RGI50-11.03503
1964,356,SAINT SORLIN,-1650.0,RGI50-11.03503
1965,356,SAINT SORLIN,460.0,RGI50-11.03503
1966,356,SAINT SORLIN,700.0,RGI50-11.03503
1967,356,SAINT SORLIN,-460.0,RGI50-11.03503
1968,356,SAINT SORLIN,810.0,RGI50-11.03503
1969,356,SAINT SORLIN,440.0,RGI50-11.03503
1970,356,SAINT SORLIN,130.0,RGI50-11.03503
1971,356,SAINT SORLIN,-850.0,RGI50-11.03503
1972,356,SAINT SORLIN,-240.0,RGI50-11.03503
1973,356,SAINT SORLIN,-760.0,RGI50-11.03503
1974,356,SAINT SORLIN,-820.0,RGI50-11.03503
1975,356,SAINT SORLIN,280.0,RGI50-11.03503
1976,356,SAINT SORLIN,-1410.0,RGI50-11.03503
1977,356,SAINT SORLIN,1330.0,RGI50-11.03503
1978,356,SAINT SORLIN,860.0,RGI50-11.03503
1979,356,SAINT SORLIN,230.0,RGI50-11.03503
1980,356,SAINT SORLIN,910.0,RGI50-11.03503
1981,356,SAINT SORLIN,200.0,RGI50-11.03503
1982,356,SAINT SORLIN,-460.0,RGI50-11.03503
1983,356,SAINT SORLIN,-140.0,RGI50-11.03503
1984,356,SAINT SORLIN,380.0,RGI50-11.03503
1985,356,SAINT SORLIN,-470.0,RGI50-11.03503
1986,356,SAINT SORLIN,-1570.0,RGI50-11.03503
1987,356,SAINT SORLIN,-390.0,RGI50-11.03503
1988,356,SAINT SORLIN,160.0,RGI50-11.03503
1989,356,SAINT SORLIN,-2430.0,RGI50-11.03503
1990,356,SAINT SORLIN,-1160.0,RGI50-11.03503
1991,356,SAINT SORLIN,-1060.0,RGI50-11.03503
1992,356,SAINT SORLIN,-1740.0,RGI50-11.03503
1993,356,SAINT SORLIN,-970.0,RGI50-11.03503
1994,356,SAINT SORLIN,-330.0,RGI50-11.03503
1995,356,SAINT SORLIN,670.0,RGI50-11.03503
1996,356,SAINT SORLIN,-510.0,RGI50-11.03503
1997,356,SAINT SORLIN,-160.0,RGI50-11.03503
1998,356,SAINT SORLIN,-2220.0,RGI50-11.03503
1999,356,SAINT SORLIN,-1040.0,RGI50-11.03503
2000,356,SAINT SORLIN,-1240.0,RGI50-11.03503
2001,356,SAINT SORLIN,160.0,RGI50-11.03503
2002,356,SAINT SORLIN,-1690.0,RGI50-11.03503
2003,356,SAINT SORLIN,-2950.0,RGI50-11.03503
2004,356,SAINT SORLIN,-2450.0,RGI50-11.03503
2005,356,SAINT SORLIN,-2500.0,RGI50-11.03503
2006,356,SAINT SORLIN,-1440.0,RGI50-11.03503
2007,356,SAINT SORLIN,-2250.0,RGI50-11.03503
2008,356,SAINT SORLIN,-1810.0,RGI50-11.03503
2009,356,SAINT SORLIN,-2650.0,RGI50-11.03503
2010,356,SAINT SORLIN,-1000.0,RGI50-11.03503
2011,356,SAINT SORLIN,-3020.0,RGI50-11.03503
2012,356,SAINT SORLIN,-2130.0,RGI50-11.03503
2013,356,SAINT SORLIN,-956.0,RGI50-11.03503
