YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
2007,3343,NO,SVELGJABREEN,22.4519996,3888.0,-2541.0,1347.0,
2008,3343,NO,SVELGJABREEN,22.4519996,3375.0,-2653.0,722.0,
2009,3343,NO,SVELGJABREEN,22.4519996,3331.0,-2972.0,359.0,
2010,3343,NO,SVELGJABREEN,22.4519996,1650.0,-3294.0,-1644.0,
2011,3343,NO,SVELGJABREEN,22.346000600000004,2581.0,-3844.0,-1262.0,
2012,3343,NO,SVELGJABREEN,22.346000600000004,3375.0,-2083.0,1292.0,
2013,3343,NO,SVELGJABREEN,22.346000600000004,2584.0,-3313.0,-728.0,
2014,3343,NO,SVELGJABREEN,22.346000600000004,3303.0,-3760.0,-457.0,
2015,3343,NO,SVELGJABREEN,22.346000600000004,3463.0,-1627.0,1835.0,
