YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1972,3908,CA,ST PATRICK BAY NE ICE CAP,,,,140.0,
1973,3908,CA,ST PATRICK BAY NE ICE CAP,,,,137.0,Multi-annual observation (274 mm w.e.) evenly distributed to corresponding years.
1974,3908,CA,ST PATRICK BAY NE ICE CAP,,,,137.0,Multi-annual observation (274 mm w.e.) evenly distributed to corresponding years.
1975,3908,CA,ST PATRICK BAY NE ICE CAP,,,,-76.0,
1976,3908,CA,ST PATRICK BAY NE ICE CAP,,,,-72.0,
1982,3908,CA,ST PATRICK BAY NE ICE CAP,,,,-144.0,
1983,3908,CA,ST PATRICK BAY NE ICE CAP,,,,137.0,
