YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1992,942,MALADETA,-327.0,RGI50-11.03818
1993,942,MALADETA,-32.0,RGI50-11.03818
1994,942,MALADETA,351.0,RGI50-11.03818
1995,942,MALADETA,-643.0,RGI50-11.03818
1996,942,MALADETA,207.0,RGI50-11.03818
1997,942,MALADETA,512.0,RGI50-11.03818
1998,942,MALADETA,-955.0,RGI50-11.03818
1999,942,MALADETA,-764.0,RGI50-11.03818
2000,942,MALADETA,-900.0,RGI50-11.03818
2001,942,MALADETA,502.0,RGI50-11.03818
2002,942,MALADETA,-811.0,RGI50-11.03818
2003,942,MALADETA,-1102.0,RGI50-11.03818
2004,942,MALADETA,-1516.0,RGI50-11.03818
2005,942,MALADETA,-1479.0,RGI50-11.03818
2006,942,MALADETA,-1787.0,RGI50-11.03818
2007,942,MALADETA,-947.0,RGI50-11.03818
2008,942,MALADETA,-38.0,RGI50-11.03818
2009,942,MALADETA,-1415.0,RGI50-11.03818
2010,942,MALADETA,259.0,RGI50-11.03818
2011,942,MALADETA,-1504.0,RGI50-11.03818
2012,942,MALADETA,-2471.0,RGI50-11.03818
2013,942,MALADETA,390.0,RGI50-11.03818
2014,942,MALADETA,78.0,RGI50-11.03818
