YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1957,817,TS.TUYUKSUYSKIY,-150.0,RGI50-13.08624
1958,817,TS.TUYUKSUYSKIY,330.0,RGI50-13.08624
1959,817,TS.TUYUKSUYSKIY,-420.0,RGI50-13.08624
1960,817,TS.TUYUKSUYSKIY,-100.0,RGI50-13.08624
1961,817,TS.TUYUKSUYSKIY,-560.0,RGI50-13.08624
1962,817,TS.TUYUKSUYSKIY,-690.0,RGI50-13.08624
1963,817,TS.TUYUKSUYSKIY,440.0,RGI50-13.08624
1964,817,TS.TUYUKSUYSKIY,520.0,RGI50-13.08624
1965,817,TS.TUYUKSUYSKIY,-20.0,RGI50-13.08624
1966,817,TS.TUYUKSUYSKIY,60.0,RGI50-13.08624
1967,817,TS.TUYUKSUYSKIY,230.0,RGI50-13.08624
1968,817,TS.TUYUKSUYSKIY,-780.0,RGI50-13.08624
1969,817,TS.TUYUKSUYSKIY,210.0,RGI50-13.08624
1970,817,TS.TUYUKSUYSKIY,120.0,RGI50-13.08624
1971,817,TS.TUYUKSUYSKIY,-330.0,RGI50-13.08624
1972,817,TS.TUYUKSUYSKIY,130.0,RGI50-13.08624
1973,817,TS.TUYUKSUYSKIY,-300.0,RGI50-13.08624
1974,817,TS.TUYUKSUYSKIY,-620.0,RGI50-13.08624
1975,817,TS.TUYUKSUYSKIY,-450.0,RGI50-13.08624
1976,817,TS.TUYUKSUYSKIY,-720.0,RGI50-13.08624
1977,817,TS.TUYUKSUYSKIY,-1100.0,RGI50-13.08624
1978,817,TS.TUYUKSUYSKIY,-1480.0,RGI50-13.08624
1979,817,TS.TUYUKSUYSKIY,-520.0,RGI50-13.08624
1980,817,TS.TUYUKSUYSKIY,-630.0,RGI50-13.08624
1981,817,TS.TUYUKSUYSKIY,110.0,RGI50-13.08624
1982,817,TS.TUYUKSUYSKIY,-630.0,RGI50-13.08624
1983,817,TS.TUYUKSUYSKIY,-540.0,RGI50-13.08624
1984,817,TS.TUYUKSUYSKIY,-1250.0,RGI50-13.08624
1985,817,TS.TUYUKSUYSKIY,-550.0,RGI50-13.08624
1986,817,TS.TUYUKSUYSKIY,-520.0,RGI50-13.08624
1987,817,TS.TUYUKSUYSKIY,-340.0,RGI50-13.08624
1988,817,TS.TUYUKSUYSKIY,-610.0,RGI50-13.08624
1989,817,TS.TUYUKSUYSKIY,-460.0,RGI50-13.08624
1990,817,TS.TUYUKSUYSKIY,-960.0,RGI50-13.08624
1991,817,TS.TUYUKSUYSKIY,-1100.0,RGI50-13.08624
1992,817,TS.TUYUKSUYSKIY,-240.0,RGI50-13.08624
1993,817,TS.TUYUKSUYSKIY,602.0,RGI50-13.08624
1994,817,TS.TUYUKSUYSKIY,-443.0,RGI50-13.08624
1995,817,TS.TUYUKSUYSKIY,-587.0,RGI50-13.08624
1996,817,TS.TUYUKSUYSKIY,-456.0,RGI50-13.08624
1997,817,TS.TUYUKSUYSKIY,-1467.0,RGI50-13.08624
1998,817,TS.TUYUKSUYSKIY,-359.0,RGI50-13.08624
1999,817,TS.TUYUKSUYSKIY,-230.0,RGI50-13.08624
2000,817,TS.TUYUKSUYSKIY,-113.0,RGI50-13.08624
2001,817,TS.TUYUKSUYSKIY,-555.0,RGI50-13.08624
2002,817,TS.TUYUKSUYSKIY,-302.0,RGI50-13.08624
2003,817,TS.TUYUKSUYSKIY,359.0,RGI50-13.08624
2004,817,TS.TUYUKSUYSKIY,62.0,RGI50-13.08624
2005,817,TS.TUYUKSUYSKIY,-340.0,RGI50-13.08624
2006,817,TS.TUYUKSUYSKIY,-969.0,RGI50-13.08624
2007,817,TS.TUYUKSUYSKIY,-915.0,RGI50-13.08624
2008,817,TS.TUYUKSUYSKIY,-1357.0,RGI50-13.08624
2009,817,TS.TUYUKSUYSKIY,206.0,RGI50-13.08624
2010,817,TS.TUYUKSUYSKIY,32.0,RGI50-13.08624
2011,817,TS.TUYUKSUYSKIY,-314.0,RGI50-13.08624
2012,817,TS.TUYUKSUYSKIY,-1023.0,RGI50-13.08624
2013,817,TS.TUYUKSUYSKIY,-340.0,RGI50-13.08624
2014,817,TS.TUYUKSUYSKIY,-1088.0,RGI50-13.08624
