YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1984,81,US,LYNCH,,,,330.0,
1985,81,US,LYNCH,,,,-220.0,
1986,81,US,LYNCH,0.8,,,-70.0,
1987,81,US,LYNCH,0.8,,,-300.0,
1988,81,US,LYNCH,0.8,,,170.0,
1989,81,US,LYNCH,0.8,,,30.0,
1990,81,US,LYNCH,0.8,,,-120.0,
1991,81,US,LYNCH,,,,360.0,
1992,81,US,LYNCH,,,,-1380.0,
1993,81,US,LYNCH,,,,-620.0,
1994,81,US,LYNCH,,,,-400.0,
1995,81,US,LYNCH,,,,180.0,
1996,81,US,LYNCH,,,,530.0,
1997,81,US,LYNCH,,,,620.0,
1998,81,US,LYNCH,,,,-1970.0,
1999,81,US,LYNCH,0.7,,,1450.0,
2000,81,US,LYNCH,,,,-240.0,
2001,81,US,LYNCH,,,,-1820.0,
2002,81,US,LYNCH,0.72,,,-130.0,
2003,81,US,LYNCH,0.72,,,-1200.0,
2004,81,US,LYNCH,,,,-1980.0,
2005,81,US,LYNCH,,,,-2620.0,
2006,81,US,LYNCH,0.6,,,-1050.0,LB: 1950; UB: 2300
2007,81,US,LYNCH,0.6,,,70.0,LB: 1950; UB: 2300
2008,81,US,LYNCH,,,,510.0,Elevation range reported: 1950-2300.
2009,81,US,LYNCH,,,,-1820.0,
2010,81,US,LYNCH,,,,-340.0,
2011,81,US,LYNCH,,,,980.0,Lower and upper boundary of altitude interval was given as 1900 and 2300
2012,81,US,LYNCH,,,,510.0,Glacier elevation range reported as: 1900/2300 m asl
2013,81,US,LYNCH,,,,-400.0,
2014,81,US,LYNCH,,,,-850.0,
2015,81,US,LYNCH,,,,-2850.0,
2016,81,US,LYNCH,,,,-1420.0,Elevation range: 1900/2300 m asl.
