YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1995,352,GEBROULAZ,500.0,RGI50-11.03432
1996,352,GEBROULAZ,-500.0,RGI50-11.03432
1997,352,GEBROULAZ,-210.0,RGI50-11.03432
1998,352,GEBROULAZ,-1540.0,RGI50-11.03432
1999,352,GEBROULAZ,-290.0,RGI50-11.03432
2000,352,GEBROULAZ,-170.0,RGI50-11.03432
2001,352,GEBROULAZ,460.0,RGI50-11.03432
2002,352,GEBROULAZ,-400.0,RGI50-11.03432
2003,352,GEBROULAZ,-1650.0,RGI50-11.03432
2004,352,GEBROULAZ,-790.0,RGI50-11.03432
2005,352,GEBROULAZ,-1510.0,RGI50-11.03432
2006,352,GEBROULAZ,-1000.0,RGI50-11.03432
2007,352,GEBROULAZ,-910.0,RGI50-11.03432
2008,352,GEBROULAZ,-1050.0,RGI50-11.03432
2009,352,GEBROULAZ,-1970.0,RGI50-11.03432
2010,352,GEBROULAZ,-340.0,RGI50-11.03432
2011,352,GEBROULAZ,-1400.0,RGI50-11.03432
2012,352,GEBROULAZ,-1500.0,RGI50-11.03432
2013,352,GEBROULAZ,-350.0,RGI50-11.03432
