YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1984,76,COLUMBIA (2057),210.0,RGI50-02.00837
1985,76,COLUMBIA (2057),-310.0,RGI50-02.00837
1986,76,COLUMBIA (2057),-200.0,RGI50-02.00837
1987,76,COLUMBIA (2057),-630.0,RGI50-02.00837
1988,76,COLUMBIA (2057),140.0,RGI50-02.00837
1989,76,COLUMBIA (2057),-90.0,RGI50-02.00837
1990,76,COLUMBIA (2057),-60.0,RGI50-02.00837
1991,76,COLUMBIA (2057),380.0,RGI50-02.00837
1992,76,COLUMBIA (2057),-1850.0,RGI50-02.00837
1993,76,COLUMBIA (2057),-900.0,RGI50-02.00837
1994,76,COLUMBIA (2057),-960.0,RGI50-02.00837
1995,76,COLUMBIA (2057),-450.0,RGI50-02.00837
1996,76,COLUMBIA (2057),-620.0,RGI50-02.00837
1997,76,COLUMBIA (2057),350.0,RGI50-02.00837
1998,76,COLUMBIA (2057),-1460.0,RGI50-02.00837
1999,76,COLUMBIA (2057),1750.0,RGI50-02.00837
2000,76,COLUMBIA (2057),400.0,RGI50-02.00837
2001,76,COLUMBIA (2057),-1520.0,RGI50-02.00837
2002,76,COLUMBIA (2057),600.0,RGI50-02.00837
2003,76,COLUMBIA (2057),-1170.0,RGI50-02.00837
2004,76,COLUMBIA (2057),-1830.0,RGI50-02.00837
2005,76,COLUMBIA (2057),-3210.0,RGI50-02.00837
2006,76,COLUMBIA (2057),-980.0,RGI50-02.00837
2007,76,COLUMBIA (2057),-370.0,RGI50-02.00837
2008,76,COLUMBIA (2057),960.0,RGI50-02.00837
2009,76,COLUMBIA (2057),-900.0,RGI50-02.00837
2010,76,COLUMBIA (2057),-210.0,RGI50-02.00837
2011,76,COLUMBIA (2057),1470.0,RGI50-02.00837
2012,76,COLUMBIA (2057),380.0,RGI50-02.00837
2013,76,COLUMBIA (2057),-780.0,RGI50-02.00837
2014,76,COLUMBIA (2057),-500.0,RGI50-02.00837
