YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1967,292,AUSTRE BROEGGERBREEN,-650.0,RGI50-07.00504
1968,292,AUSTRE BROEGGERBREEN,-100.0,RGI50-07.00504
1969,292,AUSTRE BROEGGERBREEN,-930.0,RGI50-07.00504
1970,292,AUSTRE BROEGGERBREEN,-540.0,RGI50-07.00504
1971,292,AUSTRE BROEGGERBREEN,-580.0,RGI50-07.00504
1972,292,AUSTRE BROEGGERBREEN,-310.0,RGI50-07.00504
1973,292,AUSTRE BROEGGERBREEN,-80.0,RGI50-07.00504
1974,292,AUSTRE BROEGGERBREEN,-920.0,RGI50-07.00504
1975,292,AUSTRE BROEGGERBREEN,-310.0,RGI50-07.00504
1976,292,AUSTRE BROEGGERBREEN,-450.0,RGI50-07.00504
1977,292,AUSTRE BROEGGERBREEN,-110.0,RGI50-07.00504
1978,292,AUSTRE BROEGGERBREEN,-560.0,RGI50-07.00504
1979,292,AUSTRE BROEGGERBREEN,-710.0,RGI50-07.00504
1980,292,AUSTRE BROEGGERBREEN,-520.0,RGI50-07.00504
1981,292,AUSTRE BROEGGERBREEN,-550.0,RGI50-07.00504
1982,292,AUSTRE BROEGGERBREEN,-40.0,RGI50-07.00504
1983,292,AUSTRE BROEGGERBREEN,-270.0,RGI50-07.00504
1984,292,AUSTRE BROEGGERBREEN,-730.0,RGI50-07.00504
1985,292,AUSTRE BROEGGERBREEN,-550.0,RGI50-07.00504
1986,292,AUSTRE BROEGGERBREEN,-320.0,RGI50-07.00504
1987,292,AUSTRE BROEGGERBREEN,220.0,RGI50-07.00504
1988,292,AUSTRE BROEGGERBREEN,-520.0,RGI50-07.00504
1989,292,AUSTRE BROEGGERBREEN,-450.0,RGI50-07.00504
1990,292,AUSTRE BROEGGERBREEN,-660.0,RGI50-07.00504
1991,292,AUSTRE BROEGGERBREEN,130.0,RGI50-07.00504
1992,292,AUSTRE BROEGGERBREEN,-100.0,RGI50-07.00504
1993,292,AUSTRE BROEGGERBREEN,-1030.0,RGI50-07.00504
1994,292,AUSTRE BROEGGERBREEN,-160.0,RGI50-07.00504
1995,292,AUSTRE BROEGGERBREEN,-780.0,RGI50-07.00504
1996,292,AUSTRE BROEGGERBREEN,-170.0,RGI50-07.00504
1997,292,AUSTRE BROEGGERBREEN,-710.0,RGI50-07.00504
1998,292,AUSTRE BROEGGERBREEN,-860.0,RGI50-07.00504
1999,292,AUSTRE BROEGGERBREEN,-360.0,RGI50-07.00504
2000,292,AUSTRE BROEGGERBREEN,-22.0,RGI50-07.00504
2001,292,AUSTRE BROEGGERBREEN,-476.0,RGI50-07.00504
2002,292,AUSTRE BROEGGERBREEN,-565.0,RGI50-07.00504
2003,292,AUSTRE BROEGGERBREEN,-899.0,RGI50-07.00504
2004,292,AUSTRE BROEGGERBREEN,-1142.0,RGI50-07.00504
2005,292,AUSTRE BROEGGERBREEN,-981.0,RGI50-07.00504
2006,292,AUSTRE BROEGGERBREEN,-725.0,RGI50-07.00504
2007,292,AUSTRE BROEGGERBREEN,-457.0,RGI50-07.00504
2008,292,AUSTRE BROEGGERBREEN,-127.0,RGI50-07.00504
2009,292,AUSTRE BROEGGERBREEN,-250.0,RGI50-07.00504
2010,292,AUSTRE BROEGGERBREEN,-440.0,RGI50-07.00504
2011,292,AUSTRE BROEGGERBREEN,-1004.0,RGI50-07.00504
2012,292,AUSTRE BROEGGERBREEN,-175.0,RGI50-07.00504
2013,292,AUSTRE BROEGGERBREEN,-1090.0,RGI50-07.00504
2014,292,AUSTRE BROEGGERBREEN,11.0,RGI50-07.00504
