YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1999,547,KLEINFLEISS K.,-306.0,RGI50-11.00251
2000,547,KLEINFLEISS K.,-315.0,RGI50-11.00251
2001,547,KLEINFLEISS K.,-195.0,RGI50-11.00251
2002,547,KLEINFLEISS K.,-808.0,RGI50-11.00251
2003,547,KLEINFLEISS K.,-1604.0,RGI50-11.00251
2004,547,KLEINFLEISS K.,82.0,RGI50-11.00251
2005,547,KLEINFLEISS K.,-111.0,RGI50-11.00251
2006,547,KLEINFLEISS K.,-655.0,RGI50-11.00251
2007,547,KLEINFLEISS K.,-946.0,RGI50-11.00251
2008,547,KLEINFLEISS K.,-623.0,RGI50-11.00251
2009,547,KLEINFLEISS K.,-403.0,RGI50-11.00251
2010,547,KLEINFLEISS K.,-216.0,RGI50-11.00251
2011,547,KLEINFLEISS K.,-1536.0,RGI50-11.00251
2012,547,KLEINFLEISS K.,-1220.0,RGI50-11.00251
2013,547,KLEINFLEISS K.,-195.0,RGI50-11.00251
2014,547,KLEINFLEISS K.,0.0,RGI50-11.00251
