YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1976,809,KZ,ORDZHONIKIDZE,0.31,,,90.0,
1977,809,KZ,ORDZHONIKIDZE,0.31,,,-290.0,
1978,809,KZ,ORDZHONIKIDZE,0.31,,,-1050.0,
1979,809,KZ,ORDZHONIKIDZE,0.31,,,-252.0,
1980,809,KZ,ORDZHONIKIDZE,0.31,,,-280.0,
1981,809,KZ,ORDZHONIKIDZE,0.31,,,220.0,
1982,809,KZ,ORDZHONIKIDZE,0.31,,,-320.0,
1983,809,KZ,ORDZHONIKIDZE,0.31,,,-240.0,
1984,809,KZ,ORDZHONIKIDZE,0.31,,,-820.0,
1985,809,KZ,ORDZHONIKIDZE,0.31,,,-260.0,
1986,809,KZ,ORDZHONIKIDZE,,,,-220.0,
1987,809,KZ,ORDZHONIKIDZE,,,,-80.0,
1988,809,KZ,ORDZHONIKIDZE,,,,-300.0,
1989,809,KZ,ORDZHONIKIDZE,,,,-180.0,
1990,809,KZ,ORDZHONIKIDZE,,,,-530.0,
