YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1967,292,SJ,AUSTRE BROEGGERBREEN,,770.0,-1420.0,-650.0,,RGI60-07.00504
1968,292,SJ,AUSTRE BROEGGERBREEN,,570.0,-670.0,-100.0,,RGI60-07.00504
1969,292,SJ,AUSTRE BROEGGERBREEN,,400.0,-1330.0,-930.0,,RGI60-07.00504
1970,292,SJ,AUSTRE BROEGGERBREEN,,370.0,-910.0,-540.0,,RGI60-07.00504
1971,292,SJ,AUSTRE BROEGGERBREEN,,650.0,-1230.0,-580.0,,RGI60-07.00504
1972,292,SJ,AUSTRE BROEGGERBREEN,,950.0,-1260.0,-310.0,,RGI60-07.00504
1973,292,SJ,AUSTRE BROEGGERBREEN,,740.0,-820.0,-80.0,,RGI60-07.00504
1974,292,SJ,AUSTRE BROEGGERBREEN,,750.0,-1670.0,-920.0,,RGI60-07.00504
1975,292,SJ,AUSTRE BROEGGERBREEN,,780.0,-1090.0,-310.0,,RGI60-07.00504
1976,292,SJ,AUSTRE BROEGGERBREEN,6.1,720.0,-1170.0,-450.0,,RGI60-07.00504
1977,292,SJ,AUSTRE BROEGGERBREEN,6.1,760.0,-870.0,-110.0,,RGI60-07.00504
1978,292,SJ,AUSTRE BROEGGERBREEN,6.1,750.0,-1310.0,-560.0,,RGI60-07.00504
1979,292,SJ,AUSTRE BROEGGERBREEN,6.1,770.0,-1480.0,-710.0,,RGI60-07.00504
1980,292,SJ,AUSTRE BROEGGERBREEN,6.1,750.0,-1270.0,-520.0,,RGI60-07.00504
1981,292,SJ,AUSTRE BROEGGERBREEN,,460.0,-1010.0,-550.0,,RGI60-07.00504
1982,292,SJ,AUSTRE BROEGGERBREEN,,640.0,-680.0,-40.0,,RGI60-07.00504
1983,292,SJ,AUSTRE BROEGGERBREEN,,700.0,-970.0,-270.0,,RGI60-07.00504
1984,292,SJ,AUSTRE BROEGGERBREEN,,690.0,-1420.0,-730.0,,RGI60-07.00504
1985,292,SJ,AUSTRE BROEGGERBREEN,,930.0,-1480.0,-550.0,,RGI60-07.00504
1986,292,SJ,AUSTRE BROEGGERBREEN,,,,-320.0,,RGI60-07.00504
1987,292,SJ,AUSTRE BROEGGERBREEN,,,,220.0,,RGI60-07.00504
1988,292,SJ,AUSTRE BROEGGERBREEN,,,,-520.0,,RGI60-07.00504
1989,292,SJ,AUSTRE BROEGGERBREEN,,,,-450.0,,RGI60-07.00504
1990,292,SJ,AUSTRE BROEGGERBREEN,,,,-660.0,,RGI60-07.00504
1991,292,SJ,AUSTRE BROEGGERBREEN,6.12,820.0,-796.0,130.0,Dyurgerov M. (2002): Mass balance versus altitude recalculated by Dyurgerov:Net balance 24.,RGI60-07.00504
