YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1949,573,STUBACHER SONNBLICK KEES,480.0,RGI50-11.00080
1950,573,STUBACHER SONNBLICK KEES,-1360.0,RGI50-11.00080
1951,573,STUBACHER SONNBLICK KEES,-439.0,RGI50-11.00080
1953,573,STUBACHER SONNBLICK KEES,-1223.0,RGI50-11.00080
1954,573,STUBACHER SONNBLICK KEES,-158.0,RGI50-11.00080
1957,573,STUBACHER SONNBLICK KEES,180.0,RGI50-11.00080
1958,573,STUBACHER SONNBLICK KEES,-1438.0,RGI50-11.00080
1959,573,STUBACHER SONNBLICK KEES,-374.0,RGI50-11.00080
1960,573,STUBACHER SONNBLICK KEES,249.0,RGI50-11.00080
1961,573,STUBACHER SONNBLICK KEES,148.0,RGI50-11.00080
1962,573,STUBACHER SONNBLICK KEES,54.0,RGI50-11.00080
1963,573,STUBACHER SONNBLICK KEES,-1426.0,RGI50-11.00080
1964,573,STUBACHER SONNBLICK KEES,-932.0,RGI50-11.00080
1965,573,STUBACHER SONNBLICK KEES,1976.0,RGI50-11.00080
1966,573,STUBACHER SONNBLICK KEES,736.0,RGI50-11.00080
1967,573,STUBACHER SONNBLICK KEES,160.0,RGI50-11.00080
1968,573,STUBACHER SONNBLICK KEES,236.0,RGI50-11.00080
1969,573,STUBACHER SONNBLICK KEES,-247.0,RGI50-11.00080
1970,573,STUBACHER SONNBLICK KEES,144.0,RGI50-11.00080
1971,573,STUBACHER SONNBLICK KEES,-392.0,RGI50-11.00080
1972,573,STUBACHER SONNBLICK KEES,128.0,RGI50-11.00080
1973,573,STUBACHER SONNBLICK KEES,-721.0,RGI50-11.00080
1974,573,STUBACHER SONNBLICK KEES,576.0,RGI50-11.00080
1975,573,STUBACHER SONNBLICK KEES,397.0,RGI50-11.00080
1976,573,STUBACHER SONNBLICK KEES,79.0,RGI50-11.00080
1977,573,STUBACHER SONNBLICK KEES,148.0,RGI50-11.00080
1978,573,STUBACHER SONNBLICK KEES,833.0,RGI50-11.00080
1979,573,STUBACHER SONNBLICK KEES,224.0,RGI50-11.00080
1980,573,STUBACHER SONNBLICK KEES,834.0,RGI50-11.00080
1981,573,STUBACHER SONNBLICK KEES,414.0,RGI50-11.00080
1982,573,STUBACHER SONNBLICK KEES,-1282.0,RGI50-11.00080
1983,573,STUBACHER SONNBLICK KEES,-535.0,RGI50-11.00080
1984,573,STUBACHER SONNBLICK KEES,338.0,RGI50-11.00080
1985,573,STUBACHER SONNBLICK KEES,-281.0,RGI50-11.00080
1986,573,STUBACHER SONNBLICK KEES,-1432.0,RGI50-11.00080
1987,573,STUBACHER SONNBLICK KEES,-525.0,RGI50-11.00080
1988,573,STUBACHER SONNBLICK KEES,-711.0,RGI50-11.00080
1989,573,STUBACHER SONNBLICK KEES,252.0,RGI50-11.00080
1990,573,STUBACHER SONNBLICK KEES,-561.0,RGI50-11.00080
1991,573,STUBACHER SONNBLICK KEES,-818.0,RGI50-11.00080
1992,573,STUBACHER SONNBLICK KEES,-2098.0,RGI50-11.00080
1993,573,STUBACHER SONNBLICK KEES,-315.0,RGI50-11.00080
1994,573,STUBACHER SONNBLICK KEES,-1385.0,RGI50-11.00080
1995,573,STUBACHER SONNBLICK KEES,141.0,RGI50-11.00080
1996,573,STUBACHER SONNBLICK KEES,-245.0,RGI50-11.00080
1997,573,STUBACHER SONNBLICK KEES,314.0,RGI50-11.00080
1998,573,STUBACHER SONNBLICK KEES,-1696.0,RGI50-11.00080
1999,573,STUBACHER SONNBLICK KEES,-647.0,RGI50-11.00080
2000,573,STUBACHER SONNBLICK KEES,-33.0,RGI50-11.00080
2001,573,STUBACHER SONNBLICK KEES,-399.0,RGI50-11.00080
2002,573,STUBACHER SONNBLICK KEES,-485.0,RGI50-11.00080
2003,573,STUBACHER SONNBLICK KEES,-2870.0,RGI50-11.00080
2004,573,STUBACHER SONNBLICK KEES,-7.0,RGI50-11.00080
2005,573,STUBACHER SONNBLICK KEES,-323.0,RGI50-11.00080
2006,573,STUBACHER SONNBLICK KEES,-621.0,RGI50-11.00080
2007,573,STUBACHER SONNBLICK KEES,-2175.0,RGI50-11.00080
2008,573,STUBACHER SONNBLICK KEES,-777.0,RGI50-11.00080
2009,573,STUBACHER SONNBLICK KEES,-254.0,RGI50-11.00080
2010,573,STUBACHER SONNBLICK KEES,-792.0,RGI50-11.00080
2011,573,STUBACHER SONNBLICK KEES,-2311.0,RGI50-11.00080
2012,573,STUBACHER SONNBLICK KEES,-1369.0,RGI50-11.00080
2013,573,STUBACHER SONNBLICK KEES,60.0,RGI50-11.00080
2014,573,STUBACHER SONNBLICK KEES,274.0,RGI50-11.00080
